(3.4949+/-0.0197)E-05 (4.7288+/-0.0267)E-06
(2.4377+/-0.0138)E-05 (2.9458+/-0.0166)E-06
(6.2882+/-0.0355)E-05 (2.4555+/-0.0139)E-05
(1.2919+/-0.0073)E-05 (6.3140+/-0.0356)E-06
(1.5453+/-0.0087)E-05 (1.2271+/-0.0069)E-02
(1.3269+/-0.0075)E-05 (2.5994+/-0.0147)E-06
(1.1660+/-0.0066)E-05 (1.6172+/-0.0091)E-06
(1.3814+/-0.0078)E-05 (3.5249+/-0.0199)E-04
(1.0907+/-0.0062)E-05 (1.0675+/-0.0060)E-06
(1.1470+/-0.0065)E-05 (2.5737+/-0.0145)E-06
(1.3553+/-0.0076)E-05 (1.9619+/-0.0111)E-06
(1.2792+/-0.0072)E-05 (1.0688+/-0.0060)E-06
(1.3258+/-0.0075)E-05 (1.7104+/-0.0097)E-06
(1.5984+/-0.0090)E-05 (4.8633+/-0.0274)E-06
(1.1743+/-0.0066)E-05 (2.2673+/-0.0128)E-06
(1.3367+/-0.0075)E-05 (9.7234+/-0.0549)E-06
(1.3016+/-0.0073)E-05 (2.8730+/-0.0162)E-06
(1.3284+/-0.0075)E-05 (5.2001+/-0.0293)E-05
(8.8415+/-0.0499)E-06 (2.5656+/-0.0145)E-06
(1.0344+/-0.0058)E-05 (1.2843+/-0.0072)E-06
(1.1479+/-0.0065)E-05 (2.2054+/-0.0124)E-06
(1.1465+/-0.0065)E-05 (1.2389+/-0.0070)E-06
(1.0441+/-0.0059)E-05 (1.3200+/-0.0074)E-04
(1.0980+/-0.0062)E-05 (1.2451+/-0.0070)E-05
(1.3647+/-0.0077)E-05 (6.6373+/-0.0375)E-06
(3.3705+/-0.0190)E-05 (4.0750+/-0.0230)E-06
(2.7728+/-0.0156)E-05 (3.5027+/-0.0198)E-06
(3.4329+/-0.0194)E-05 (4.1137+/-0.0232)E-06
(1.9599+/-0.0111)E-05 (4.9318+/-0.0278)E-06
(1.5838+/-0.0089)E-05 (4.2337+/-0.0239)E-06
(1.5977+/-0.0090)E-05 (7.0430+/-0.0397)E-06
(1.6548+/-0.0093)E-05 (3.5979+/-0.0203)E-06
(1.4005+/-0.0079)E-05 (3.8026+/-0.0215)E-06
(1.5825+/-0.0089)E-05 (4.8047+/-0.0271)E-06
(1.5006+/-0.0085)E-05 (4.3897+/-0.0248)E-06
(1.6655+/-0.0094)E-05 (4.6128+/-0.0260)E-06
(1.3495+/-0.0076)E-05 (7.4414+/-0.0420)E-06
(1.2729+/-0.0072)E-05 (2.2261+/-0.0126)E-06
(1.5027+/-0.0085)E-05 (2.8083+/-0.0158)E-06
(1.5374+/-0.0087)E-05 (2.4281+/-0.0137)E-06
(1.0783+/-0.0061)E-05 (1.1183+/-0.0063)E-05
(1.4023+/-0.0079)E-05 (1.1031+/-0.0062)E-05
(1.1267+/-0.0064)E-05 (3.8737+/-0.0219)E-05
(1.3271+/-0.0075)E-05 (1.5191+/-0.0086)E-05
(1.3667+/-0.0077)E-05 (4.8325+/-0.0273)E-06
(1.2639+/-0.0071)E-05 (2.0439+/-0.0115)E-05
(1.1363+/-0.0064)E-05 (4.0504+/-0.0229)E-06
(1.4373+/-0.0081)E-05 (1.8656+/-0.0105)E-06
(1.2093+/-0.0068)E-05 (3.2604+/-0.0184)E-06
(1.2652+/-0.0071)E-05 (1.3416+/-0.0076)E-06
(1.4675+/-0.0083)E-05 (1.6161+/-0.0091)E-06
(1.3335+/-0.0075)E-05 (2.7271+/-0.0154)E-06
(4.8312+/-0.0273)E-05 (1.7241+/-0.0097)E-04
(1.0144+/-0.0057)E-05 (1.6755+/-0.0095)E-06
(8.8051+/-0.0497)E-06 (1.4405+/-0.0081)E-06
(9.2178+/-0.0520)E-06 (1.3009+/-0.0073)E-06
(9.7650+/-0.0551)E-06 (1.2503+/-0.0071)E-06
(8.2969+/-0.0468)E-06 (2.1264+/-0.0120)E-06
(7.3916+/-0.0417)E-06 (1.6263+/-0.0092)E-06
(7.9149+/-0.0447)E-06 (1.8107+/-0.0102)E-06
(7.7867+/-0.0439)E-06 (2.1019+/-0.0119)E-06
(8.2820+/-0.0467)E-06 (1.8978+/-0.0107)E-06
(7.6068+/-0.0429)E-06 (2.5478+/-0.0144)E-06
(7.5247+/-0.0425)E-06 (2.8853+/-0.0163)E-06
(7.2202+/-0.0407)E-06 (2.1989+/-0.0124)E-06
(7.5527+/-0.0426)E-06 (2.9996+/-0.0169)E-06
