(6.4869+/-0.0850)E-06 (8.7771+/-0.1150)E-07
(4.5246+/-0.0593)E-06 (5.4678+/-0.0716)E-07
(1.1672+/-0.0153)E-05 (4.5577+/-0.0597)E-06
(2.3978+/-0.0314)E-06 (1.1719+/-0.0154)E-06
(2.8683+/-0.0376)E-06 (2.2776+/-0.0298)E-03
(2.4628+/-0.0323)E-06 (4.8248+/-0.0632)E-07
(2.1643+/-0.0284)E-06 (3.0017+/-0.0393)E-07
(2.5639+/-0.0336)E-06 (6.5426+/-0.0857)E-05
(2.0244+/-0.0265)E-06 (1.9814+/-0.0260)E-07
(2.1289+/-0.0279)E-06 (4.7771+/-0.0626)E-07
(2.5155+/-0.0330)E-06 (3.6414+/-0.0477)E-07
(2.3742+/-0.0311)E-06 (1.9839+/-0.0260)E-07
(2.4609+/-0.0322)E-06 (3.1747+/-0.0416)E-07
(2.9668+/-0.0389)E-06 (9.0268+/-0.1182)E-07
(2.1796+/-0.0286)E-06 (4.2084+/-0.0551)E-07
(2.4811+/-0.0325)E-06 (1.8048+/-0.0236)E-06
(2.4158+/-0.0316)E-06 (5.3326+/-0.0699)E-07
(2.4657+/-0.0323)E-06 (9.6520+/-0.1264)E-06
(1.6411+/-0.0215)E-06 (4.7620+/-0.0624)E-07
(1.9200+/-0.0252)E-06 (2.3839+/-0.0312)E-07
(2.1306+/-0.0279)E-06 (4.0934+/-0.0536)E-07
(2.1280+/-0.0279)E-06 (2.2996+/-0.0301)E-07
(1.9380+/-0.0254)E-06 (2.4501+/-0.0321)E-05
(2.0380+/-0.0267)E-06 (2.3110+/-0.0303)E-06
(2.5329+/-0.0332)E-06 (1.2319+/-0.0161)E-06
(6.2559+/-0.0819)E-06 (7.5636+/-0.0991)E-07
(5.1465+/-0.0674)E-06 (6.5013+/-0.0852)E-07
(6.3718+/-0.0835)E-06 (7.6354+/-0.1000)E-07
(3.6378+/-0.0477)E-06 (9.1539+/-0.1199)E-07
(2.9396+/-0.0385)E-06 (7.8581+/-0.1029)E-07
(2.9655+/-0.0388)E-06 (1.3073+/-0.0171)E-06
(3.0715+/-0.0402)E-06 (6.6780+/-0.0875)E-07
(2.5994+/-0.0341)E-06 (7.0580+/-0.0925)E-07
(2.9372+/-0.0385)E-06 (8.9180+/-0.1168)E-07
(2.7852+/-0.0365)E-06 (8.1477+/-0.1067)E-07
(3.0914+/-0.0405)E-06 (8.5618+/-0.1122)E-07
(2.5048+/-0.0328)E-06 (1.3812+/-0.0181)E-06
(2.3627+/-0.0310)E-06 (4.1318+/-0.0541)E-07
(2.7891+/-0.0365)E-06 (5.2125+/-0.0683)E-07
(2.8535+/-0.0374)E-06 (4.5068+/-0.0590)E-07
(2.0015+/-0.0262)E-06 (2.0758+/-0.0272)E-06
(2.6028+/-0.0341)E-06 (2.0475+/-0.0268)E-06
(2.0913+/-0.0274)E-06 (7.1900+/-0.0942)E-06
(2.4633+/-0.0323)E-06 (2.8195+/-0.0369)E-06
(2.5367+/-0.0332)E-06 (8.9696+/-0.1175)E-07
(2.3460+/-0.0307)E-06 (3.7937+/-0.0497)E-06
(2.1090+/-0.0276)E-06 (7.5179+/-0.0985)E-07
(2.6678+/-0.0349)E-06 (3.4628+/-0.0454)E-07
(2.2447+/-0.0294)E-06 (6.0516+/-0.0793)E-07
(2.3483+/-0.0308)E-06 (2.4901+/-0.0326)E-07
(2.7238+/-0.0357)E-06 (2.9996+/-0.0393)E-07
(2.4750+/-0.0324)E-06 (5.0617+/-0.0663)E-07
(8.9672+/-0.1175)E-06 (3.2002+/-0.0419)E-05
(1.8828+/-0.0247)E-06 (3.1099+/-0.0407)E-07
(1.6343+/-0.0214)E-06 (2.6736+/-0.0350)E-07
(1.7109+/-0.0224)E-06 (2.4146+/-0.0316)E-07
(1.8125+/-0.0237)E-06 (2.3207+/-0.0304)E-07
(1.5400+/-0.0202)E-06 (3.9469+/-0.0517)E-07
(1.3719+/-0.0180)E-06 (3.0186+/-0.0395)E-07
(1.4691+/-0.0192)E-06 (3.3609+/-0.0440)E-07
(1.4453+/-0.0189)E-06 (3.9014+/-0.0511)E-07
(1.5372+/-0.0201)E-06 (3.5226+/-0.0461)E-07
