A_0 = 1.0983E+02, Δφ_0 = -0.0000E+00
A_1 = 2.8249E-01, Δφ_1 = 1.4728E+00
A_2 = 9.6962E-02, Δφ_2 = 1.8661E+00
A_3 = 8.0052E-02, Δφ_3 = 1.1991E+00
A_4 = 1.1215E+00, Δφ_4 = -6.4634E-01
A_5 = 2.6434E-02, Δφ_5 = 9.2153E-01
A_6 = 8.5878E-03, Δφ_6 = 1.2746E+00
A_7 = 8.8396E-03, Δφ_7 = 2.5886E-01
A_8 = 1.8429E-02, Δφ_8 = 2.8913E-02
A_9 = 1.3409E-02, Δφ_9 = -6.7711E-01
A_10 = 9.6673E-03, Δφ_10 = 1.9865E+00
A_11 = 8.8311E-03, Δφ_11 = -5.6321E-01
A_12 = 5.3756E-03, Δφ_12 = -2.5186E+00
A_13 = 1.1979E-02, Δφ_13 = -1.1945E+00
A_14 = 1.1518E-02, Δφ_14 = -1.7059E-01
A_15 = 5.6797E-03, Δφ_15 = -2.2119E+00
A_16 = 3.9088E-03, Δφ_16 = 3.0999E+00
A_17 = 1.2800E-02, Δφ_17 = 1.6877E+00
A_18 = 4.9741E-03, Δφ_18 = 1.9964E+00
A_19 = 1.2875E-02, Δφ_19 = 2.0675E+00
A_20 = 1.0605E-02, Δφ_20 = -2.2866E+00
A_21 = 7.5395E-03, Δφ_21 = 2.0065E+00
A_22 = 8.2171E-03, Δφ_22 = 3.0980E+00
A_23 = 5.7365E-03, Δφ_23 = -1.8932E+00
A_24 = 9.6337E-03, Δφ_24 = 2.4490E+00
A_25 = 6.0624E-03, Δφ_25 = 1.5733E+00
A_26 = 2.1121E-02, Δφ_26 = 1.4523E+00
A_27 = 1.2274E-02, Δφ_27 = 1.4179E+00
A_28 = 5.5564E-03, Δφ_28 = 2.1270E+00
A_29 = 5.9976E-03, Δφ_29 = 1.2630E+00
A_30 = 9.9854E-03, Δφ_30 = 1.0271E+00
A_31 = 4.5078E-03, Δφ_31 = 2.0701E+00
A_32 = 8.8785E-03, Δφ_32 = 1.8896E+00
A_33 = 3.3396E-04, Δφ_33 = 2.5959E+00
A_34 = 9.7168E-03, Δφ_34 = 4.4415E-01
A_35 = 8.6366E-03, Δφ_35 = 1.9732E+00
A_36 = 1.3364E-03, Δφ_36 = -1.9996E+00
A_37 = 6.7636E-03, Δφ_37 = 1.3579E+00
A_38 = 3.0135E-03, Δφ_38 = -2.8261E+00
A_39 = 7.5801E-03, Δφ_39 = 3.0377E+00
A_40 = 4.9928E-03, Δφ_40 = 2.1567E+00
A_41 = 4.8625E-03, Δφ_41 = -1.5335E+00
A_42 = 4.9647E-03, Δφ_42 = -2.8774E+00
A_43 = 1.1303E-02, Δφ_43 = 2.0317E+00
A_44 = 3.1566E-03, Δφ_44 = 2.7877E-01
A_45 = 1.3975E-02, Δφ_45 = 1.1969E+00
A_46 = 4.0378E-03, Δφ_46 = 9.0769E-01
A_47 = 3.8658E-03, Δφ_47 = -1.2947E+00
A_48 = 1.0928E-02, Δφ_48 = 1.2432E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 9.8113E+01, Δφ_0 = -0.0000E+00
A_1 = 2.5583E-01, Δφ_1 = 1.5866E+00
A_2 = 1.4532E-01, Δφ_2 = 1.7113E+00
A_3 = 7.6589E-02, Δφ_3 = 1.4708E+00
A_4 = 2.6906E-01, Δφ_4 = -1.5791E+00
A_5 = 5.2759E-02, Δφ_5 = 1.6566E+00
A_6 = 4.5911E-02, Δφ_6 = 1.4422E+00
A_7 = 3.7628E-02, Δφ_7 = 1.4308E+00
A_8 = 2.0355E-02, Δφ_8 = 1.5566E+00
A_9 = 1.8473E-02, Δφ_9 = 1.6618E+00
A_10 = 2.1085E-02, Δφ_10 = 1.2069E+00
A_11 = 2.0230E-02, Δφ_11 = 1.6631E+00
A_12 = 2.4240E-02, Δφ_12 = 1.6885E+00
A_13 = 2.0704E-02, Δφ_13 = 1.6470E+00
A_14 = 1.2218E-02, Δφ_14 = 1.6425E+00
A_15 = 1.6706E-02, Δφ_15 = 2.0677E+00
A_16 = 2.0288E-02, Δφ_16 = 1.4612E+00
A_17 = 1.6240E-02, Δφ_17 = 1.3940E+00
A_18 = 1.6335E-02, Δφ_18 = 1.5287E+00
A_19 = 9.8715E-03, Δφ_19 = 2.0704E+00
A_20 = 2.4862E-02, Δφ_20 = 1.4913E+00
A_21 = 1.1491E-02, Δφ_21 = 1.8509E+00
A_22 = 1.0409E-02, Δφ_22 = 1.1741E+00
A_23 = 2.6502E-02, Δφ_23 = 1.3600E+00
A_24 = 8.0399E-03, Δφ_24 = 2.1467E+00
A_25 = 9.0773E-03, Δφ_25 = 1.0033E+00
A_26 = 1.6429E-02, Δφ_26 = 1.9112E+00
A_27 = 9.2070E-03, Δφ_27 = 1.6904E+00
A_28 = 1.8044E-02, Δφ_28 = 2.0554E+00
A_29 = 2.4892E-03, Δφ_29 = -9.9568E-01
A_30 = 3.6984E-03, Δφ_30 = 9.5773E-01
A_31 = 4.6442E-03, Δφ_31 = 1.7495E+00
A_32 = 1.2286E-02, Δφ_32 = 9.6432E-01
A_33 = 7.5037E-03, Δφ_33 = 1.2614E+00
A_34 = 4.5711E-03, Δφ_34 = 5.1460E-01
A_35 = 6.2570E-03, Δφ_35 = 1.8955E+00
A_36 = 9.6754E-03, Δφ_36 = 8.2176E-01
A_37 = 1.0798E-02, Δφ_37 = 1.6161E+00
A_38 = 1.0998E-02, Δφ_38 = 1.4570E+00
A_39 = 5.6714E-03, Δφ_39 = 1.7443E+00
A_40 = 7.7873E-03, Δφ_40 = 7.0844E-01
A_41 = 9.5677E-03, Δφ_41 = 1.6450E+00
A_42 = 4.7582E-03, Δφ_42 = -1.5914E+00
A_43 = 1.3604E-02, Δφ_43 = 1.8582E+00
A_44 = 1.3644E-02, Δφ_44 = 2.3449E+00
A_45 = 1.3797E-02, Δφ_45 = 1.3489E+00
A_46 = 6.3686E-03, Δφ_46 = 1.7738E+00
A_47 = 5.8364E-03, Δφ_47 = -2.0305E+00
A_48 = 7.8216E-03, Δφ_48 = 2.7652E+00
A_49 = 0.0000E+00, Δφ_49 = 0.0000E+00
A_0 = 1.0506E+02, Δφ_0 = -0.0000E+00
A_1 = 1.7233E-01, Δφ_1 = -1.7815E+00
A_2 = 1.2895E-01, Δφ_2 = -1.3714E+00
A_3 = 1.5151E-01, Δφ_3 = -1.5765E+00
A_4 = 2.4480E+00, Δφ_4 = 1.7248E-01
A_5 = 8.5583E-02, Δφ_5 = -1.3816E+00
A_6 = 5.1970E-02, Δφ_6 = -1.7496E+00
A_7 = 4.6803E-02, Δφ_7 = -1.5723E+00
A_8 = 3.0850E-02, Δφ_8 = -1.8870E+00
A_9 = 5.2520E-02, Δφ_9 = -1.7486E+00
A_10 = 3.6669E-02, Δφ_10 = -1.9856E+00
A_11 = 3.8325E-02, Δφ_11 = -1.4682E+00
A_12 = 4.5329E-02, Δφ_12 = -2.0254E+00
A_13 = 2.0338E-02, Δφ_13 = -1.5940E+00
A_14 = 2.4504E-02, Δφ_14 = -1.5531E+00
