Difference,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev,Mean,Std Dev
4,10.8089904,1.2653856,5.3237952,0.0334656,11.4018672,25.0583472,5.3728752,0.14244
8,12.1563984,30.9163968,5.3919216,0.3876768,11.5947024,28.9475472,5.5187088,0.6842256
12,11.2631712,28.0190832,5.6347824,0.8547024,10.990656,26.8166592,5.7991824,1.171416
16,13.8848352,40.6023792,5.8567248,1.2595152,13.8238512,39.9535776,5.9136768,1.387032
20,13.7147568,39.5190912,5.9776656,1.5085536,13.3100448,37.63236,6.1606848,1.7878896
24,12.995952,36.6882912,6.29808,1.9552224,13.2830592,37.7895408,6.33192,2.0096736
28,13.1763792,37.3439616,6.379704,2.0633376,14.4490944,43.1431824,6.7510416,2.39355872
32,14.8477296,42.5663088,6.8098464,2.4403872,15.8669376,41.88048,7.3044384,5.0032656
36,15.9878256,40.9284048,8.2097568,7.4990208,16.0698288,40.3985808,8.530584,7.7963328
40,15.8486784,39.6375792,8.99424,8.1860448,15.6943632,38.8723872,8.9476656,8.0375712
