in s,C2 in V
3.97780000E-02,-1.23762E+00
3.97780048E-02,-1.24738E+00
3.97780096E-02,-1.21809E+00
3.97780144E-02,-1.23762E+00
3.97780192E-02,-1.27668E+00
3.97780240E-02,-1.25715E+00
3.97780288E-02,-1.21809E+00
3.97780336E-02,-1.23762E+00
3.97780384E-02,-1.23762E+00
3.97780432E-02,-1.23762E+00
3.97780480E-02,-1.25715E+00
3.97780528E-02,-1.28645E+00
3.97780576E-02,-1.24738E+00
3.97780624E-02,-1.22785E+00
3.97780672E-02,-1.24738E+00
3.97780720E-02,-1.23762E+00
3.97780768E-02,-1.22785E+00
3.97780816E-02,-1.25715E+00
3.97780864E-02,-1.21809E+00
3.97780912E-02,-1.21809E+00
3.97780960E-02,-1.24738E+00
3.97781008E-02,-1.23762E+00
3.97781056E-02,-1.23762E+00
3.97781104E-02,-1.24738E+00
3.97781152E-02,-1.24738E+00
3.97781200E-02,-1.24738E+00
3.97781248E-02,-1.24738E+00
3.97781296E-02,-1.23762E+00
3.97781344E-02,-1.22785E+00
3.97781392E-02,-1.25715E+00
3.97781440E-02,-1.23762E+00
3.97781488E-02,-1.26691E+00
3.97781536E-02,-1.20832E+00
3.97781584E-02,-1.25715E+00
3.97781632E-02,-1.25715E+00
3.97781680E-02,-1.25715E+00
3.97781728E-02,-1.26691E+00
3.97781776E-02,-1.22785E+00
3.97781824E-02,-1.24738E+00
3.97781872E-02,-1.25715E+00
3.97781920E-02,-1.26691E+00
3.97781968E-02,-1.22785E+00
3.97782016E-02,-1.21809E+00
3.97782064E-02,-1.28645E+00
3.97782112E-02,-1.22785E+00
3.97782160E-02,-1.25715E+00
3.97782208E-02,-1.27668E+00
3.97782256E-02,-1.24738E+00
3.97782304E-02,-1.22785E+00
3.97782352E-02,-1.22785E+00
3.97782400E-02,-1.25715E+00
3.97782448E-02,-1.24738E+00
3.97782496E-02,-1.28645E+00
3.97782544E-02,-1.22785E+00
3.97782592E-02,-1.22785E+00
3.97782640E-02,-1.23762E+00
3.97782688E-02,-1.24738E+00
3.97782736E-02,-1.27668E+00
3.97782784E-02,-1.24738E+00
3.97782832E-02,-1.24738E+00
3.97782880E-02,-1.27668E+00
3.97782928E-02,-1.22785E+00
3.97782976E-02,-1.24738E+00
3.97783024E-02,-1.24738E+00
3.97783072E-02,-1.22785E+00
3.97783120E-02,-1.25715E+00
3.97783168E-02,-1.27668E+00
3.97783216E-02,-1.24738E+00
3.97783264E-02,-1.22785E+00
3.97783312E-02,-1.25715E+00
3.97783360E-02,-1.23762E+00
3.97783408E-02,-1.24738E+00
3.97783456E-02,-1.25715E+00
3.97783504E-02,-1.25715E+00
3.97783552E-02,-1.23762E+00
3.97783600E-02,-1.23762E+00
3.97783648E-02,-1.23762E+00
3.97783696E-02,-1.22785E+00
