"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:20:31",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,2408,,
"Current",,1.193760e-05,,
"Average No.",,1.000000e+03,,
"Min",,2.240000e-08,,
"Max",,1.937120e-05,,
"Mean",,5.269798e-06,,
"StdDev",,2.416571e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.065445e-06,,
"Long term StdDev",,3.814637e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,3.633600e-06,
2,,3.569600e-06,
3,,3.569600e-06,
4,,3.572800e-06,
5,,3.587200e-06,
6,,3.617600e-06,
7,,3.651200e-06,
8,,3.659200e-06,
9,,3.619200e-06,
10,,3.608000e-06,
11,,3.691200e-06,
12,,3.667200e-06,
13,,3.590400e-06,
14,,3.640000e-06,
15,,3.603200e-06,
16,,3.640000e-06,
17,,3.584000e-06,
18,,3.630400e-06,
19,,3.569600e-06,
20,,3.627200e-06,
21,,3.617600e-06,
22,,3.601600e-06,
23,,3.640000e-06,
24,,3.630400e-06,
25,,3.632000e-06,
26,,3.628800e-06,
27,,3.662400e-06,
28,,3.606400e-06,
29,,3.553600e-06,
30,,3.636800e-06,
31,,3.601600e-06,
32,,3.670400e-06,
33,,3.588800e-06,
34,,3.584000e-06,
35,,3.633600e-06,
36,,3.636800e-06,
37,,3.598400e-06,
38,,3.619200e-06,
39,,3.592000e-06,
40,,3.630400e-06,
41,,3.664000e-06,
42,,3.625600e-06,
43,,3.625600e-06,
44,,3.580800e-06,
45,,3.643200e-06,
46,,3.611200e-06,
47,,3.665600e-06,
48,,3.648000e-06,
49,,3.640000e-06,
50,,3.638400e-06,
51,,3.587200e-06,
52,,3.609600e-06,
53,,3.640000e-06,
54,,3.614400e-06,
55,,3.603200e-06,
56,,3.608000e-06,
57,,3.630400e-06,
58,,3.593600e-06,
59,,3.590400e-06,
60,,3.614400e-06,
61,,3.572800e-06,
62,,3.593600e-06,
63,,3.620800e-06,
64,,3.620800e-06,
65,,3.612800e-06,
66,,3.552000e-06,
67,,3.616000e-06,
68,,3.569600e-06,
69,,3.614400e-06,
70,,4.024000e-06,
71,,3.654400e-06,
72,,3.601600e-06,
73,,3.585600e-06,
74,,3.606400e-06,
75,,3.606400e-06,
76,,3.577600e-06,
77,,3.620800e-06,
78,,3.582400e-06,
79,,3.624000e-06,
80,,3.643200e-06,
81,,3.617600e-06,
82,,3.564800e-06,
83,,3.619200e-06,
84,,3.600000e-06,
