in s,C1 in V
-3.000000E-04,-6.81113E-01
-3.000000E-04,-6.56699E-01
-2.999952E-04,-6.81113E-01
-2.999952E-04,-6.66465E-01
-2.999904E-04,-6.90879E-01
-2.999904E-04,-6.61582E-01
-2.999856E-04,-6.90879E-01
-2.999856E-04,-6.51816E-01
-2.999808E-04,-6.81113E-01
-2.999808E-04,-6.46934E-01
-2.999760E-04,-6.76230E-01
-2.999760E-04,-6.56699E-01
-2.999712E-04,-6.71348E-01
-2.999712E-04,-6.56699E-01
-2.999664E-04,-6.76230E-01
-2.999664E-04,-6.61582E-01
-2.999616E-04,-6.81113E-01
-2.999616E-04,-6.46934E-01
-2.999568E-04,-6.85996E-01
-2.999568E-04,-6.51816E-01
-2.999520E-04,-6.81113E-01
-2.999520E-04,-6.61582E-01
-2.999472E-04,-6.81113E-01
-2.999472E-04,-6.51816E-01
-2.999424E-04,-6.81113E-01
-2.999424E-04,-6.51816E-01
-2.999376E-04,-6.81113E-01
-2.999376E-04,-6.51816E-01
-2.999328E-04,-6.76230E-01
-2.999328E-04,-6.51816E-01
-2.999280E-04,-6.76230E-01
-2.999280E-04,-6.51816E-01
-2.999232E-04,-6.81113E-01
-2.999232E-04,-6.66465E-01
-2.999184E-04,-6.81113E-01
-2.999184E-04,-6.66465E-01
-2.999136E-04,-6.76230E-01
-2.999136E-04,-6.46934E-01
-2.999088E-04,-6.81113E-01
-2.999088E-04,-6.51816E-01
-2.999040E-04,-6.81113E-01
-2.999040E-04,-6.46934E-01
-2.998992E-04,-6.71348E-01
-2.998992E-04,-6.56699E-01
-2.998944E-04,-6.81113E-01
-2.998944E-04,-6.61582E-01
-2.998896E-04,-6.81113E-01
-2.998896E-04,-6.61582E-01
-2.998848E-04,-6.95762E-01
-2.998848E-04,-6.61582E-01
-2.998800E-04,-6.81113E-01
-2.998800E-04,-6.61582E-01
-2.998752E-04,-6.81113E-01
-2.998752E-04,-6.66465E-01
-2.998704E-04,-6.85996E-01
-2.998704E-04,-6.61582E-01
-2.998656E-04,-6.85996E-01
-2.998656E-04,-6.61582E-01
-2.998608E-04,-6.90879E-01
-2.998608E-04,-6.56699E-01
-2.998560E-04,-6.71348E-01
-2.998560E-04,-6.56699E-01
-2.998512E-04,-6.81113E-01
-2.998512E-04,-6.66465E-01
-2.998464E-04,-6.81113E-01
-2.998464E-04,-6.66465E-01
-2.998416E-04,-6.81113E-01
-2.998416E-04,-6.51816E-01
-2.998368E-04,-6.76230E-01
-2.998368E-04,-6.51816E-01
-2.998320E-04,-6.76230E-01
-2.998320E-04,-6.61582E-01
-2.998272E-04,-6.81113E-01
-2.998272E-04,-6.51816E-01
-2.998224E-04,-6.81113E-01
-2.998224E-04,-6.51816E-01
-2.998176E-04,-6.81113E-01
-2.998176E-04,-6.51816E-01
-2.998128E-04,-6.85996E-01
-2.998128E-04,-6.51816E-01
-2.998080E-04,-6.71348E-01
-2.998080E-04,-6.46934E-01
-2.998032E-04,-6.85996E-01
-2.998032E-04,-6.46934E-01
-2.997984E-04,-6.85996E-01
-2.997984E-04,-6.51816E-01
-2.997936E-04,-6.85996E-01
-2.997936E-04,-6.66465E-01
-2.997888E-04,-6.81113E-01
-2.997888E-04,-6.61582E-01
-2.997840E-04,-6.90879E-01
-2.997840E-04,-6.61582E-01
-2.997792E-04,-6.85996E-01
-2.997792E-04,-6.61582E-01
-2.997744E-04,-6.85996E-01
-2.997744E-04,-6.56699E-01
-2.997696E-04,-6.71348E-01
-2.997696E-04,-6.56699E-01
-2.997648E-04,-6.85996E-01
-2.997648E-04,-6.46934E-01
-2.997600E-04,-6.71348E-01
-2.997600E-04,-6.46934E-01
-2.997552E-04,-6.71348E-01
-2.997552E-04,-6.51816E-01
-2.997504E-04,-6.81113E-01
-2.997504E-04,-6.51816E-01
-2.997456E-04,-6.76230E-01
-2.997456E-04,-6.61582E-01
-2.997408E-04,-6.76230E-01
-2.997408E-04,-6.51816E-01
-2.997360E-04,-6.85996E-01
-2.997360E-04,-6.61582E-01
