"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:16:06",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,s,,s,,s,,s,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1784,,1784,,1784,,1784,,
"Current",,1.201872e-04,,5.318400e-06,,1.711296e-04,,9.532800e-06,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.200096e-04,,5.232000e-06,,1.369488e-04,,4.051200e-06,,
"Max",,3.291600e-04,,1.778880e-05,,2.499936e-04,,3.470448e-04,,
"Mean",,1.615389e-04,,5.925624e-06,,1.615176e-04,,1.167143e-05,,
"StdDev",,2.872629e-05,,1.112218e-06,,1.391324e-05,,4.049148e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,8.552640e-05,,5.193600e-06,,1.369488e-04,,4.051200e-06,,
"Long term Max",,3.291600e-04,,1.778880e-05,,2.499936e-04,,3.470448e-04,,
"Long term Mean",,1.236071e-04,,5.634782e-06,,1.660623e-04,,1.126317e-05,,
"Long term StdDev",,4.271934e-05,,8.547024e-07,,1.107701e-05,,2.801908e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.542624e-04,,5.294400e-06,,1.709952e-04,,5.745600e-06,
2,,1.541520e-04,,5.361600e-06,,1.709856e-04,,5.731200e-06,
3,,1.541856e-04,,5.284800e-06,,1.709616e-04,,5.726400e-06,
4,,1.542288e-04,,5.337600e-06,,1.709808e-04,,5.697600e-06,
5,,1.541520e-04,,5.376000e-06,,1.711104e-04,,5.745600e-06,
6,,1.542768e-04,,5.299200e-06,,1.710384e-04,,5.721600e-06,
7,,1.542912e-04,,5.308800e-06,,1.709136e-04,,5.697600e-06,
8,,1.543536e-04,,5.328000e-06,,1.709568e-04,,5.750400e-06,
9,,1.542912e-04,,5.289600e-06,,1.709424e-04,,5.635200e-06,
10,,1.542288e-04,,5.299200e-06,,1.708608e-04,,5.736000e-06,
11,,1.542864e-04,,5.275200e-06,,1.708896e-04,,5.745600e-06,
12,,1.542336e-04,,5.342400e-06,,1.710288e-04,,5.745600e-06,
13,,1.542144e-04,,5.332800e-06,,1.709376e-04,,5.755200e-06,
14,,1.543104e-04,,5.395200e-06,,1.710000e-04,,5.764800e-06,
15,,1.543440e-04,,5.232000e-06,,1.709904e-04,,5.760000e-06,
16,,1.543200e-04,,5.347200e-06,,1.709328e-04,,5.659200e-06,
17,,1.543296e-04,,5.352000e-06,,1.709376e-04,,5.750400e-06,
18,,1.543488e-04,,5.332800e-06,,1.709808e-04,,5.716800e-06,
19,,1.543488e-04,,5.332800e-06,,1.708752e-04,,5.707200e-06,
20,,1.543008e-04,,5.395200e-06,,1.710048e-04,,5.712000e-06,
21,,1.542912e-04,,5.323200e-06,,1.710384e-04,,5.707200e-06,
22,,1.542912e-04,,5.260800e-06,,1.709568e-04,,5.702400e-06,
23,,1.543440e-04,,5.308800e-06,,1.709232e-04,,5.764800e-06,
24,,1.544064e-04,,5.337600e-06,,1.710336e-04,,5.774400e-06,
