"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:25:05",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,,,s,,s,,s,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,4746,,4746,,4746,,4746,,
"Current",,nan,,5.299200e-06,,1.709184e-04,,2.593920e-05,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,5.393280e-05,,5.227200e-06,,5.400480e-05,,3.993600e-06,,
"Max",,5.000928e-04,,4.250880e-05,,5.000928e-04,,3.473808e-04,,
"Mean",,1.886705e-04,,1.533122e-05,,1.832939e-04,,2.752010e-05,,
"StdDev",,9.206275e-05,,1.386267e-05,,1.240075e-04,,5.266984e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,5.393280e-05,,4.560000e-06,,5.400480e-05,,4.656000e-07,,
"Long term Max",,5.000928e-04,,4.250880e-05,,5.000928e-04,,3.473808e-04,,
"Long term Mean",,1.398084e-04,,8.209757e-06,,1.596459e-04,,1.598783e-05,,
"Long term StdDev",,6.607576e-05,,7.499021e-06,,5.344932e-05,,4.092840e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.600000e+308,,5.356800e-06,,1.709856e-04,,1.159680e-05,
2,,1.600000e+308,,5.323200e-06,,1.711056e-04,,1.165440e-05,
3,,1.600000e+308,,5.352000e-06,,1.710048e-04,,1.155840e-05,
4,,1.600000e+308,,5.332800e-06,,1.710096e-04,,1.021920e-05,
5,,1.600000e+308,,5.366400e-06,,1.710144e-04,,1.170240e-05,
6,,1.600000e+308,,5.409600e-06,,1.710768e-04,,1.155360e-05,
7,,1.600000e+308,,5.318400e-06,,1.709952e-04,,1.155840e-05,
8,,1.600000e+308,,5.265600e-06,,1.710864e-04,,1.140000e-05,
9,,1.600000e+308,,5.356800e-06,,1.710384e-04,,1.013760e-05,
10,,1.600000e+308,,5.371200e-06,,1.710960e-04,,1.151040e-05,
11,,1.600000e+308,,5.356800e-06,,1.712064e-04,,1.159680e-05,
12,,1.600000e+308,,5.328000e-06,,1.710768e-04,,1.146240e-05,
13,,1.600000e+308,,5.347200e-06,,1.709808e-04,,1.148640e-05,
14,,1.600000e+308,,5.328000e-06,,1.710912e-04,,1.014720e-05,
15,,1.600000e+308,,5.299200e-06,,1.710960e-04,,1.154880e-05,
16,,1.600000e+308,,5.332800e-06,,1.710336e-04,,1.165920e-05,
17,,1.600000e+308,,5.371200e-06,,1.710912e-04,,1.155360e-05,
18,,1.600000e+308,,5.366400e-06,,1.709760e-04,,1.151520e-05,
19,,1.600000e+308,,5.366400e-06,,1.710912e-04,,1.147680e-05,
20,,1.600000e+308,,5.361600e-06,,1.709952e-04,,1.139520e-05,
21,,1.600000e+308,,5.308800e-06,,1.710240e-04,,1.036320e-05,
22,,1.600000e+308,,5.342400e-06,,1.710624e-04,,1.600000e+308,
23,,1.600000e+308,,5.366400e-06,,1.710240e-04,,1.600000e+308,
24,,1.600000e+308,,5.352000e-06,,1.710768e-04,,1.600000e+308,
25,,1.600000e+308,,5.328000e-06,,1.710768e-04,,1.600000e+308,
26,,1.600000e+308,,5.294400e-06,,1.710528e-04,,1.600000e+308,
27,,1.600000e+308,,5.304000e-06,,1.711200e-04,,1.600000e+308,
28,,1.600000e+308,,5.313600e-06,,1.709808e-04,,1.600000e+308,
29,,1.600000e+308,,5.323200e-06,,1.711344e-04,,1.600000e+308,
30,,1.600000e+308,,5.371200e-06,,1.710624e-04,,1.600000e+308,
31,,1.600000e+308,,5.318400e-06,,1.710192e-04,,1.600000e+308,
32,,1.600000e+308,,5.366400e-06,,1.710240e-04,,1.600000e+308,
33,,1.600000e+308,,5.304000e-06,,1.711296e-04,,1.600000e+308,
34,,1.600000e+308,,5.284800e-06,,1.710528e-04,,1.600000e+308,
