"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:25:39",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,s,,s,,,,s,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,4921,,4921,,4921,,4921,,
"Current",,1.709952e-04,,2.617920e-05,,nan,,5.342400e-06,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,5.393280e-05,,5.227200e-06,,5.400480e-05,,3.993600e-06,,
"Max",,5.000928e-04,,4.250880e-05,,5.000928e-04,,3.473808e-04,,
"Mean",,1.845170e-04,,1.667494e-05,,1.839683e-04,,2.765755e-05,,
"StdDev",,9.046922e-05,,1.401245e-05,,1.247353e-04,,5.077628e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,5.393280e-05,,4.560000e-06,,5.400480e-05,,4.656000e-07,,
"Long term Max",,5.000928e-04,,4.250880e-05,,5.000928e-04,,3.473808e-04,,
"Long term Mean",,1.401371e-04,,8.530584e-06,,1.599150e-04,,1.606983e-05,,
"Long term StdDev",,6.580432e-05,,7.796333e-06,,5.334627e-05,,4.039858e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.710000e-04,,1.156320e-05,,1.600000e+308,,5.342400e-06,
2,,2.499936e-04,,1.164480e-05,,1.600000e+308,,4.555200e-06,
3,,2.500080e-04,,1.163520e-05,,1.600000e+308,,4.526400e-06,
4,,2.500032e-04,,1.181760e-05,,1.600000e+308,,4.550400e-06,
5,,2.500080e-04,,1.188480e-05,,1.600000e+308,,4.545600e-06,
6,,1.710192e-04,,1.158240e-05,,1.600000e+308,,5.376000e-06,
7,,2.500080e-04,,1.160160e-05,,1.600000e+308,,4.579200e-06,
8,,2.499840e-04,,1.152000e-05,,1.600000e+308,,4.526400e-06,
9,,2.499936e-04,,1.172640e-05,,1.600000e+308,,4.574400e-06,
10,,2.500032e-04,,1.147680e-05,,1.600000e+308,,4.502400e-06,
11,,2.499984e-04,,1.183680e-05,,1.600000e+308,,4.540800e-06,
12,,2.499888e-04,,1.138080e-05,,1.600000e+308,,4.569600e-06,
13,,2.500080e-04,,1.159200e-05,,1.600000e+308,,4.507200e-06,
14,,2.499792e-04,,1.149600e-05,,1.600000e+308,,4.521600e-06,
15,,2.499888e-04,,1.169760e-05,,1.600000e+308,,4.555200e-06,
16,,2.499984e-04,,1.163520e-05,,1.600000e+308,,4.560000e-06,
17,,2.500032e-04,,1.175040e-05,,1.600000e+308,,4.579200e-06,
18,,2.499984e-04,,1.177920e-05,,1.600000e+308,,4.526400e-06,
19,,2.500032e-04,,1.182720e-05,,1.600000e+308,,4.555200e-06,
20,,2.500080e-04,,1.154880e-05,,1.600000e+308,,4.540800e-06,
21,,2.500128e-04,,1.158720e-05,,1.600000e+308,,4.545600e-06,
22,,2.499984e-04,,1.161600e-05,,1.600000e+308,,4.560000e-06,
23,,2.499936e-04,,1.156800e-05,,1.600000e+308,,4.550400e-06,
24,,1.710576e-04,,1.149600e-05,,1.600000e+308,,5.352000e-06,
25,,2.500080e-04,,1.153440e-05,,1.600000e+308,,4.531200e-06,
26,,2.500032e-04,,1.160160e-05,,1.600000e+308,,4.545600e-06,
27,,2.500080e-04,,1.165440e-05,,1.600000e+308,,4.526400e-06,
28,,2.499840e-04,,1.159680e-05,,1.600000e+308,,4.536000e-06,
29,,2.499984e-04,,1.176960e-05,,1.600000e+308,,4.564800e-06,
30,,2.500032e-04,,1.165440e-05,,1.600000e+308,,4.540800e-06,
31,,1.710096e-04,,1.172640e-05,,1.600000e+308,,5.251200e-06,
32,,2.499888e-04,,1.163520e-05,,1.600000e+308,,4.555200e-06,
