"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:45:30",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,s,,s,,s,,,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,12113,,12113,,12113,,12113,,
"Current",,2.500032e-04,,3.455520e-05,,2.499888e-04,,nan,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.031520e-04,,1.410720e-05,,8.561760e-05,,3.305040e-04,,
"Max",,3.297360e-04,,4.367232e-04,,2.500320e-04,,4.883856e-04,,
"Mean",,1.669225e-04,,1.444104e-04,,1.517815e-04,,3.779141e-04,,
"StdDev",,3.938047e-05,,1.572375e-04,,2.538065e-05,,7.230699e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,5.393280e-05,,4.560000e-06,,5.400480e-05,,4.656000e-07,,
"Long term Max",,5.000928e-04,,4.367232e-04,,5.000928e-04,,4.883856e-04,,
"Long term Mean",,1.491142e-04,,9.513211e-06,,1.590005e-04,,1.651574e-05,,
"Long term StdDev",,6.409777e-05,,1.390036e-05,,4.844045e-05,,4.384689e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.703424e-04,,1.600000e+308,,1.547520e-04,,1.600000e+308,
2,,1.706736e-04,,1.600000e+308,,1.547520e-04,,1.600000e+308,
3,,1.705584e-04,,1.600000e+308,,1.547760e-04,,1.600000e+308,
4,,1.705248e-04,,1.600000e+308,,1.547184e-04,,1.600000e+308,
5,,1.704816e-04,,1.600000e+308,,1.547328e-04,,1.600000e+308,
6,,1.703952e-04,,1.600000e+308,,1.547664e-04,,1.600000e+308,
7,,1.703712e-04,,1.600000e+308,,1.547232e-04,,1.600000e+308,
8,,1.704144e-04,,1.600000e+308,,1.547712e-04,,1.600000e+308,
9,,1.704048e-04,,1.600000e+308,,1.546944e-04,,1.600000e+308,
10,,1.703808e-04,,1.600000e+308,,1.547328e-04,,1.600000e+308,
11,,1.704768e-04,,1.600000e+308,,1.547712e-04,,1.600000e+308,
12,,1.705680e-04,,1.600000e+308,,1.547376e-04,,1.600000e+308,
13,,1.705008e-04,,1.600000e+308,,1.547520e-04,,1.600000e+308,
14,,1.705776e-04,,1.600000e+308,,1.547760e-04,,1.600000e+308,
15,,1.705248e-04,,1.600000e+308,,1.547952e-04,,1.600000e+308,
16,,1.704912e-04,,1.600000e+308,,1.548000e-04,,1.600000e+308,
17,,1.705872e-04,,1.600000e+308,,1.547280e-04,,1.600000e+308,
18,,1.705920e-04,,1.600000e+308,,1.548048e-04,,1.600000e+308,
19,,1.704288e-04,,1.600000e+308,,1.547904e-04,,1.600000e+308,
20,,1.705824e-04,,1.600000e+308,,1.548336e-04,,1.600000e+308,
21,,1.704864e-04,,1.600000e+308,,1.547520e-04,,1.600000e+308,
22,,1.705536e-04,,1.600000e+308,,1.548096e-04,,1.600000e+308,
23,,1.703664e-04,,1.600000e+308,,1.547616e-04,,1.600000e+308,
24,,1.706112e-04,,1.600000e+308,,1.548240e-04,,1.600000e+308,
25,,1.706304e-04,,1.600000e+308,,1.546944e-04,,1.600000e+308,
26,,1.705152e-04,,1.600000e+308,,1.547616e-04,,1.600000e+308,
27,,1.705296e-04,,1.600000e+308,,1.548096e-04,,1.600000e+308,
28,,1.703568e-04,,1.600000e+308,,1.548000e-04,,1.600000e+308,
29,,1.704336e-04,,1.600000e+308,,1.548480e-04,,1.600000e+308,
30,,1.704384e-04,,1.600000e+308,,1.548576e-04,,1.600000e+308,
31,,1.704144e-04,,1.600000e+308,,1.547376e-04,,1.600000e+308,
32,,1.705200e-04,,1.600000e+308,,1.547664e-04,,1.600000e+308,
33,,1.706544e-04,,1.600000e+308,,1.548000e-04,,1.600000e+308,
34,,1.703904e-04,,1.600000e+308,,1.547328e-04,,1.600000e+308,
35,,1.704816e-04,,1.600000e+308,,1.546656e-04,,1.600000e+308,
36,,1.706016e-04,,1.600000e+308,,1.547328e-04,,1.600000e+308,
37,,1.703424e-04,,1.600000e+308,,1.548672e-04,,1.600000e+308,
38,,1.705344e-04,,1.600000e+308,,1.547520e-04,,1.600000e+308,
39,,1.704480e-04,,1.600000e+308,,1.549392e-04,,1.600000e+308,
40,,1.705008e-04,,1.600000e+308,,1.548432e-04,,1.600000e+308,
41,,1.703856e-04,,1.600000e+308,,1.549008e-04,,1.600000e+308,
42,,1.703328e-04,,1.600000e+308,,1.546464e-04,,1.600000e+308,
43,,1.704864e-04,,1.600000e+308,,1.548240e-04,,1.600000e+308,
44,,1.703856e-04,,1.600000e+308,,1.546176e-04,,1.600000e+308,
45,,1.705200e-04,,1.600000e+308,,1.548336e-04,,1.600000e+308,
46,,1.705056e-04,,1.600000e+308,,1.547088e-04,,1.600000e+308,
47,,1.706064e-04,,1.600000e+308,,1.547712e-04,,1.600000e+308,
48,,1.703232e-04,,1.600000e+308,,1.547184e-04,,1.600000e+308,
49,,1.705056e-04,,1.600000e+308,,1.547520e-04,,1.600000e+308,
