"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","13:17:12",
"Comment","",

"Meas. Place",,"1",,
"Type",,"Phase",,
"Source 1",,"C2",,
"Source 2",,"C1",,
"Unit",,,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,6999,,
"Current",,nan,,
"Average No.",,1.000000e+03,,
"Min",,-1.526224e+02,,
"Max",,-1.504519e+02,,
"Mean",,-1.514822e+02,,
"StdDev",,3.443937e-01,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,-1.528591e+02,,
"Long term Max",,-6.911447e-02,,
"Long term Mean",,-1.514957e+02,,
"Long term StdDev",,1.856948e+00,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,-1.518670e+02,
2,,-1.516267e+02,
3,,-1.512244e+02,
4,,-1.517472e+02,
5,,-1.518751e+02,
6,,-1.519011e+02,
7,,-1.506649e+02,
8,,-1.509346e+02,
9,,-1.515639e+02,
10,,-1.510405e+02,
11,,-1.513929e+02,
12,,-1.504529e+02,
13,,-1.515189e+02,
14,,-1.510045e+02,
15,,-1.511544e+02,
16,,-1.513316e+02,
17,,-1.514731e+02,
18,,-1.513112e+02,
19,,-1.509594e+02,
20,,-1.510688e+02,
21,,-1.516285e+02,
22,,-1.511696e+02,
23,,-1.509053e+02,
24,,-1.507021e+02,
25,,-1.512395e+02,
26,,-1.517235e+02,
27,,-1.510725e+02,
28,,-1.512596e+02,
29,,-1.514248e+02,
30,,-1.514648e+02,
31,,-1.510199e+02,
32,,-1.510271e+02,
33,,-1.515025e+02,
34,,-1.508685e+02,
35,,-1.513907e+02,
36,,-1.514408e+02,
37,,-1.522744e+02,
38,,-1.518774e+02,
39,,-1.516636e+02,
40,,-1.511380e+02,
41,,-1.515471e+02,
42,,-1.521887e+02,
43,,-1.515185e+02,
44,,-1.514125e+02,
45,,-1.521731e+02,
46,,-1.510850e+02,
47,,-1.514480e+02,
48,,-1.513953e+02,
49,,-1.510450e+02,
50,,-1.519238e+02,
51,,-1.521351e+02,
52,,-1.511409e+02,
53,,-1.516049e+02,
54,,-1.512201e+02,
55,,-1.510870e+02,
56,,-1.514534e+02,
57,,-1.518955e+02,
58,,-1.514711e+02,
59,,-1.520803e+02,
60,,-1.517702e+02,
61,,-1.519896e+02,
62,,-1.520286e+02,
63,,-1.511263e+02,
64,,-1.520538e+02,
65,,-1.519167e+02,
66,,-1.508427e+02,
67,,-1.513781e+02,
68,,-1.515167e+02,
69,,-1.522050e+02,
70,,-1.516900e+02,
71,,-1.524599e+02,
72,,-1.513499e+02,
73,,-1.518357e+02,
74,,-1.517076e+02,
75,,-1.513505e+02,
76,,-1.514917e+02,
77,,-1.516158e+02,
78,,-1.519067e+02,
79,,-1.514603e+02,
80,,-1.517032e+02,
81,,-1.516403e+02,
82,,-1.514688e+02,
83,,-1.516504e+02,
84,,-1.516599e+02,
85,,-1.514212e+02,
86,,-1.517580e+02,
87,,-1.513922e+02,
88,,-1.518091e+02,
89,,-1.509340e+02,
90,,-1.517828e+02,
91,,-1.515444e+02,
92,,-1.520502e+02,
93,,-1.512797e+02,
94,,-1.514102e+02,
95,,-1.513871e+02,
96,,-1.515503e+02,
97,,-1.515426e+02,
98,,-1.508912e+02,
99,,-1.518136e+02,
100,,-1.521794e+02,
101,,-1.516949e+02,
102,,-1.515917e+02,
103,,-1.511827e+02,
104,,-1.514354e+02,
105,,-1.517782e+02,
106,,-1.512662e+02,
107,,-1.516444e+02,
108,,-1.509026e+02,
109,,-1.515140e+02,
110,,-1.514347e+02,
111,,-1.512890e+02,
112,,-1.514948e+02,
113,,-1.514080e+02,
114,,-1.517322e+02,
115,,-1.514066e+02,
116,,-1.512105e+02,
117,,-1.518570e+02,
118,,-1.518963e+02,
119,,-1.513952e+02,
120,,-1.517145e+02,
121,,-1.514675e+02,
122,,-1.515566e+02,
123,,-1.516212e+02,
124,,-1.515721e+02,
125,,-1.512580e+02,
126,,-1.514575e+02,
127,,-1.517583e+02,
128,,-1.519374e+02,
129,,-1.515311e+02,
130,,-1.513979e+02,
131,,-1.517961e+02,
132,,-1.506886e+02,
133,,-1.513389e+02,
134,,-1.506305e+02,
135,,-1.516254e+02,
136,,-1.515390e+02,
137,,-1.510246e+02,
138,,-1.522076e+02,
139,,-1.519499e+02,
140,,-1.509452e+02,
141,,-1.510059e+02,
142,,-1.514939e+02,
143,,-1.511110e+02,
144,,-1.515530e+02,
145,,-1.513843e+02,
146,,-1.512204e+02,
147,,-1.513021e+02,
148,,-1.517059e+02,
149,,-1.513227e+02,
150,,-1.517314e+02,
151,,-1.516367e+02,
152,,-1.515221e+02,
153,,-1.519184e+02,
154,,-1.514770e+02,
155,,-1.519148e+02,
156,,-1.510945e+02,
157,,-1.520067e+02,
158,,-1.519271e+02,
159,,-1.522302e+02,
160,,-1.514080e+02,
161,,-1.512190e+02,
162,,-1.509783e+02,
163,,-1.515944e+02,
164,,-1.517488e+02,
165,,-1.510687e+02,
166,,-1.510887e+02,
167,,-1.515299e+02,
168,,-1.510837e+02,
169,,-1.512326e+02,
170,,-1.514776e+02,
171,,-1.514667e+02,
172,,-1.519574e+02,
173,,-1.511020e+02,
174,,-1.510659e+02,
175,,-1.513992e+02,
176,,-1.508306e+02,
177,,-1.515694e+02,
178,,-1.515985e+02,
179,,-1.504789e+02,
180,,-1.513289e+02,
181,,-1.521651e+02,
182,,-1.515762e+02,
183,,-1.519291e+02,
184,,-1.510790e+02,
185,,-1.514807e+02,
186,,-1.517801e+02,
187,,-1.515858e+02,
188,,-1.514962e+02,
189,,-1.519264e+02,
190,,-1.516358e+02,
191,,-1.518249e+02,
192,,-1.512036e+02,
193,,-1.511375e+02,
194,,-1.513490e+02,
195,,-1.513676e+02,
196,,-1.513973e+02,
197,,-1.513160e+02,
198,,-1.522050e+02,
199,,-1.515899e+02,
200,,-1.516639e+02,
201,,-1.510531e+02,
202,,-1.513603e+02,
203,,-1.517813e+02,
204,,-1.512905e+02,
205,,-1.516876e+02,
206,,-1.513181e+02,
207,,-1.511282e+02,
208,,-1.518854e+02,
209,,-1.512891e+02,
210,,-1.513894e+02,
211,,-1.511637e+02,
212,,-1.512050e+02,
213,,-1.519816e+02,
214,,-1.513316e+02,
215,,-1.519648e+02,
216,,-1.513340e+02,
217,,-1.513415e+02,
218,,-1.514033e+02,
219,,-1.509460e+02,
220,,-1.521329e+02,
221,,-1.515017e+02,
222,,-1.511952e+02,
223,,-1.513630e+02,
224,,-1.517767e+02,
225,,-1.511882e+02,
226,,-1.515558e+02,
227,,-1.516594e+02,
228,,-1.509736e+02,
229,,-1.512790e+02,
230,,-1.514444e+02,
231,,-1.517098e+02,
232,,-1.517100e+02,
233,,-1.512549e+02,
234,,-1.508255e+02,
235,,-1.510126e+02,
236,,-1.517878e+02,
237,,-1.515880e+02,
238,,-1.511003e+02,
239,,-1.515685e+02,
240,,-1.519823e+02,
241,,-1.518523e+02,
242,,-1.507447e+02,
243,,-1.515853e+02,
244,,-1.515680e+02,
245,,-1.514252e+02,
246,,-1.518163e+02,
247,,-1.512138e+02,
248,,-1.512523e+02,
249,,-1.513091e+02,
250,,-1.521808e+02,
251,,-1.513586e+02,
252,,-1.515216e+02,
253,,-1.513259e+02,
254,,-1.512895e+02,
255,,-1.516685e+02,
256,,-1.516354e+02,
257,,-1.515821e+02,
258,,-1.517873e+02,
259,,-1.518151e+02,
260,,-1.507266e+02,
261,,-1.520476e+02,
262,,-1.514258e+02,
263,,-1.511480e+02,
264,,-1.519332e+02,
265,,-1.514248e+02,
266,,-1.512668e+02,
267,,-1.515880e+02,
268,,-1.515689e+02,
269,,-1.511851e+02,
270,,-1.514258e+02,
271,,-1.514212e+02,
272,,-1.509491e+02,
273,,-1.517437e+02,
274,,-1.515348e+02,
275,,-1.516257e+02,
276,,-1.516303e+02,
277,,-1.518056e+02,
278,,-1.519674e+02,
279,,-1.509207e+02,
280,,-1.523020e+02,
281,,-1.517650e+02,
282,,-1.513793e+02,
283,,-1.509159e+02,
284,,-1.517951e+02,
285,,-1.516553e+02,
286,,-1.515335e+02,
287,,-1.514798e+02,
288,,-1.521990e+02,
289,,-1.513214e+02,
290,,-1.515121e+02,
291,,-1.515116e+02,
292,,-1.516348e+02,
293,,-1.518553e+02,
294,,-1.517026e+02,
295,,-1.517245e+02,
296,,-1.512164e+02,
297,,-1.513233e+02,
298,,-1.516336e+02,
299,,-1.510485e+02,
300,,-1.518004e+02,
301,,-1.519372e+02,
302,,-1.517402e+02,
303,,-1.509415e+02,
304,,-1.510853e+02,
305,,-1.514084e+02,
306,,-1.516931e+02,
307,,-1.517578e+02,
308,,-1.514666e+02,
309,,-1.516976e+02,
310,,-1.514671e+02,
311,,-1.515262e+02,
312,,-1.521804e+02,
313,,-1.510552e+02,
314,,-1.514251e+02,
315,,-1.526224e+02,
316,,-1.517268e+02,
317,,-1.510761e+02,
318,,-1.511964e+02,
319,,-1.511409e+02,
320,,-1.515090e+02,
321,,-1.512610e+02,
322,,-1.510886e+02,
323,,-1.521955e+02,
324,,-1.510705e+02,
325,,-1.516567e+02,
326,,-1.515430e+02,
327,,-1.521980e+02,
328,,-1.517331e+02,
329,,-1.518244e+02,
330,,-1.513325e+02,
331,,-1.521551e+02,
332,,-1.515067e+02,
333,,-1.515867e+02,
334,,-1.517381e+02,
335,,-1.519389e+02,
336,,-1.515107e+02,
337,,-1.520226e+02,
338,,-1.515316e+02,
339,,-1.513111e+02,
340,,-1.515626e+02,
341,,-1.515508e+02,
342,,-1.511272e+02,
343,,-1.514027e+02,
344,,-1.515389e+02,
345,,-1.513994e+02,
346,,-1.514029e+02,
347,,-1.516872e+02,
348,,-1.515335e+02,
349,,-1.516963e+02,
350,,-1.509677e+02,
351,,-1.513318e+02,
352,,-1.515680e+02,
353,,-1.513919e+02,
354,,-1.517472e+02,
355,,-1.512247e+02,
356,,-1.514534e+02,
357,,-1.518668e+02,
358,,-1.513040e+02,
359,,-1.514408e+02,
360,,-1.507962e+02,
361,,-1.513214e+02,
362,,-1.517770e+02,
363,,-1.511615e+02,
364,,-1.514706e+02,
365,,-1.516399e+02,
366,,-1.515353e+02,
367,,-1.516358e+02,
368,,-1.524567e+02,
369,,-1.515348e+02,
370,,-1.513076e+02,
371,,-1.513170e+02,
372,,-1.517740e+02,
373,,-1.515658e+02,
374,,-1.520495e+02,
375,,-1.512376e+02,
376,,-1.510227e+02,
377,,-1.520509e+02,
378,,-1.513096e+02,
379,,-1.514939e+02,
380,,-1.516576e+02,
381,,-1.515989e+02,
382,,-1.516732e+02,
383,,-1.510154e+02,
384,,-1.513840e+02,
385,,-1.520982e+02,
386,,-1.509199e+02,
387,,-1.512451e+02,
388,,-1.518903e+02,
389,,-1.517240e+02,
390,,-1.515216e+02,
391,,-1.517540e+02,
392,,-1.513676e+02,
393,,-1.512401e+02,
394,,-1.516603e+02,
395,,-1.516117e+02,
396,,-1.514807e+02,
397,,-1.517021e+02,
398,,-1.521863e+02,
399,,-1.518229e+02,
400,,-1.509725e+02,
401,,-1.519371e+02,
402,,-1.518546e+02,
403,,-1.518082e+02,
404,,-1.511349e+02,
405,,-1.508004e+02,
406,,-1.515202e+02,
407,,-1.514284e+02,
408,,-1.509321e+02,
409,,-1.511829e+02,
410,,-1.510135e+02,
411,,-1.512342e+02,
412,,-1.517166e+02,
413,,-1.516080e+02,
414,,-1.511102e+02,
415,,-1.519330e+02,
416,,-1.515835e+02,
417,,-1.511674e+02,
418,,-1.514155e+02,
419,,-1.508393e+02,
