"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","13:20:15",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Peak Peak",,"Peak Peak",,
"Source 1",,"C1",,"C2",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,V,,V,,V,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,425,,548,,325,,242,,
"Current",,1.999200e+00,,1.881600e+00,,2.072700e+00,,1.955100e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,1.989400e+00,,1.876700e+00,,2.067800e+00,,1.955100e+00,,
"Max",,2.004100e+00,,1.891400e+00,,2.087400e+00,,1.979600e+00,,
"Mean",,1.995844e+00,,1.883888e+00,,2.077316e+00,,1.967169e+00,,
"StdDev",,3.042900e-03,,2.699900e-03,,4.753000e-03,,4.963700e-03,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,1.989400e+00,,1.876700e+00,,2.067800e+00,,1.955100e+00,,
"Long term Max",,2.004100e+00,,1.891400e+00,,2.087400e+00,,1.979600e+00,,
"Long term Mean",,1.995844e+00,,1.883888e+00,,2.077316e+00,,1.967169e+00,,
"Long term StdDev",,3.042900e-03,,2.704800e-03,,4.762800e-03,,4.973500e-03,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.955100e+00,
2,,1.994300e+00,,1.891400e+00,,2.072700e+00,,1.964900e+00,
3,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.974700e+00,
4,,1.994300e+00,,1.886500e+00,,2.067800e+00,,1.964900e+00,
5,,1.999200e+00,,1.886500e+00,,2.072700e+00,,1.964900e+00,
6,,1.989400e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
7,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
8,,1.994300e+00,,1.881600e+00,,2.087400e+00,,1.964900e+00,
9,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.960000e+00,
10,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.969800e+00,
11,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.964900e+00,
12,,1.999200e+00,,1.886500e+00,,2.082500e+00,,1.969800e+00,
13,,1.994300e+00,,1.881600e+00,,2.082500e+00,,1.969800e+00,
14,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
15,,1.999200e+00,,1.891400e+00,,2.072700e+00,,1.964900e+00,
16,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.974700e+00,
17,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
18,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.979600e+00,
19,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.960000e+00,
20,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
21,,1.999200e+00,,1.881600e+00,,2.082500e+00,,1.969800e+00,
22,,1.999200e+00,,1.881600e+00,,2.077600e+00,,1.969800e+00,
23,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
24,,1.994300e+00,,1.886500e+00,,2.082500e+00,,1.964900e+00,
25,,1.999200e+00,,1.886500e+00,,2.072700e+00,,1.969800e+00,
26,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.979600e+00,
27,,1.994300e+00,,1.881600e+00,,2.082500e+00,,1.964900e+00,
28,,1.989400e+00,,1.886500e+00,,2.082500e+00,,1.969800e+00,
29,,1.999200e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
30,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.969800e+00,
31,,1.994300e+00,,1.886500e+00,,2.087400e+00,,1.960000e+00,
32,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.960000e+00,
33,,1.994300e+00,,1.886500e+00,,2.082500e+00,,1.974700e+00,
34,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.964900e+00,
35,,1.994300e+00,,1.886500e+00,,2.067800e+00,,1.964900e+00,
36,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.960000e+00,
37,,1.994300e+00,,1.886500e+00,,2.067800e+00,,1.969800e+00,
38,,1.994300e+00,,1.881600e+00,,2.082500e+00,,1.974700e+00,
39,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.974700e+00,
40,,1.994300e+00,,1.881600e+00,,2.082500e+00,,1.964900e+00,
41,,1.999200e+00,,1.881600e+00,,2.077600e+00,,1.960000e+00,
42,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.964900e+00,
43,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.964900e+00,
44,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
45,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
46,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.974700e+00,
47,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.969800e+00,
48,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.969800e+00,
49,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.974700e+00,
50,,1.989400e+00,,1.886500e+00,,2.077600e+00,,1.964900e+00,
51,,1.999200e+00,,1.881600e+00,,2.087400e+00,,1.964900e+00,
52,,1.999200e+00,,1.886500e+00,,2.082500e+00,,1.964900e+00,
53,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.969800e+00,
54,,1.999200e+00,,1.881600e+00,,2.077600e+00,,1.969800e+00,
55,,1.994300e+00,,1.886500e+00,,2.082500e+00,,1.964900e+00,
56,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.960000e+00,
57,,1.994300e+00,,1.881600e+00,,2.082500e+00,,1.974700e+00,
58,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
59,,1.999200e+00,,1.881600e+00,,2.077600e+00,,1.964900e+00,
60,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.964900e+00,
61,,1.994300e+00,,1.886500e+00,,2.082500e+00,,1.960000e+00,
62,,1.989400e+00,,1.881600e+00,,2.082500e+00,,1.964900e+00,
63,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
64,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.960000e+00,
65,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
66,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
67,,1.989400e+00,,1.886500e+00,,2.082500e+00,,1.960000e+00,
68,,1.989400e+00,,1.881600e+00,,2.082500e+00,,1.960000e+00,
69,,1.999200e+00,,1.881600e+00,,2.082500e+00,,1.969800e+00,
70,,1.994300e+00,,1.876700e+00,,2.087400e+00,,1.969800e+00,
71,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
72,,1.999200e+00,,1.881600e+00,,2.077600e+00,,1.969800e+00,
73,,1.999200e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
74,,1.999200e+00,,1.881600e+00,,2.077600e+00,,1.974700e+00,
75,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
76,,1.999200e+00,,1.881600e+00,,2.067800e+00,,1.960000e+00,
77,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.964900e+00,
78,,1.994300e+00,,1.881600e+00,,2.067800e+00,,1.964900e+00,
79,,1.999200e+00,,1.881600e+00,,2.077600e+00,,1.974700e+00,
80,,1.999200e+00,,1.881600e+00,,2.072700e+00,,1.974700e+00,
81,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.964900e+00,
82,,1.999200e+00,,1.886500e+00,,2.082500e+00,,1.969800e+00,
83,,1.994300e+00,,1.891400e+00,,2.082500e+00,,1.964900e+00,
84,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.964900e+00,
85,,1.994300e+00,,1.881600e+00,,2.077600e+00,,1.969800e+00,
86,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.969800e+00,
87,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.969800e+00,
88,,1.994300e+00,,1.881600e+00,,2.072700e+00,,1.964900e+00,
89,,1.999200e+00,,1.886500e+00,,2.082500e+00,,1.964900e+00,
90,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.964900e+00,
91,,1.994300e+00,,1.886500e+00,,2.087400e+00,,1.964900e+00,
92,,1.994300e+00,,1.881600e+00,,2.067800e+00,,1.964900e+00,
93,,1.989400e+00,,1.886500e+00,,2.077600e+00,,1.964900e+00,
94,,1.994300e+00,,1.886500e+00,,2.072700e+00,,1.969800e+00,
95,,1.994300e+00,,1.886500e+00,,2.077600e+00,,1.964900e+00,
96,,1.994300e+00,,1.881600e+00,,2.082500e+00,,1.964900e+00,
97,,1.999200e+00,,1.881600e+00,,2.067800e+00,,1.964900e+00,
