"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:25:11",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,,,s,,s,,s,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,4768,,4768,,4768,,4768,,
"Current",,nan,,5.318400e-06,,1.710432e-04,,2.598240e-05,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,5.393280e-05,,5.227200e-06,,5.400480e-05,,3.993600e-06,,
"Max",,5.000928e-04,,4.250880e-05,,5.000928e-04,,3.473808e-04,,
"Mean",,1.886705e-04,,1.533040e-05,,1.832926e-04,,2.793793e-05,,
"StdDev",,9.206275e-05,,1.386326e-05,,1.240076e-04,,5.256204e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,5.393280e-05,,4.560000e-06,,5.400480e-05,,4.656000e-07,,
"Long term Max",,5.000928e-04,,4.250880e-05,,5.000928e-04,,3.473808e-04,,
"Long term Mean",,1.398084e-04,,8.193619e-06,,1.597154e-04,,1.604717e-05,,
"Long term StdDev",,6.607576e-05,,7.481198e-06,,5.329313e-05,,4.081518e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.600000e+308,,5.356800e-06,,1.710528e-04,,1.600000e+308,
2,,1.600000e+308,,5.323200e-06,,1.711296e-04,,1.600000e+308,
3,,1.600000e+308,,5.347200e-06,,1.711248e-04,,1.600000e+308,
4,,1.600000e+308,,5.342400e-06,,1.710720e-04,,1.600000e+308,
5,,1.600000e+308,,5.342400e-06,,1.710624e-04,,1.600000e+308,
6,,1.600000e+308,,5.332800e-06,,1.709856e-04,,1.600000e+308,
7,,1.600000e+308,,5.366400e-06,,1.710816e-04,,1.600000e+308,
8,,1.600000e+308,,5.356800e-06,,1.710864e-04,,1.600000e+308,
9,,1.600000e+308,,5.342400e-06,,1.711152e-04,,1.600000e+308,
10,,1.600000e+308,,5.323200e-06,,1.710576e-04,,1.600000e+308,
11,,1.600000e+308,,5.318400e-06,,1.711104e-04,,1.600000e+308,
12,,1.600000e+308,,5.284800e-06,,1.710816e-04,,1.600000e+308,
13,,1.600000e+308,,5.352000e-06,,1.710096e-04,,1.600000e+308,
14,,1.600000e+308,,5.361600e-06,,1.709952e-04,,1.600000e+308,
15,,1.600000e+308,,5.318400e-06,,1.710384e-04,,1.600000e+308,
16,,1.600000e+308,,5.318400e-06,,1.710480e-04,,1.600000e+308,
17,,1.600000e+308,,5.318400e-06,,1.711008e-04,,1.600000e+308,
18,,1.600000e+308,,5.385600e-06,,1.710576e-04,,1.600000e+308,
19,,1.600000e+308,,5.328000e-06,,1.710144e-04,,1.600000e+308,
20,,1.600000e+308,,5.328000e-06,,1.710432e-04,,1.600000e+308,
21,,1.600000e+308,,5.294400e-06,,1.710864e-04,,1.600000e+308,
22,,1.600000e+308,,5.313600e-06,,1.709952e-04,,1.600000e+308,
23,,1.600000e+308,,1.600000e+308,,1.710048e-04,,1.600000e+308,
24,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
25,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
26,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
27,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
28,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
29,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
30,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
31,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
32,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
33,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
34,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
35,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
36,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
37,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
38,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
39,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
40,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
41,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
42,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
43,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
44,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
45,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
46,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
47,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
48,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
49,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
50,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
51,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
52,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
53,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
54,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
55,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
56,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
57,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
58,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
59,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
60,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
61,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
62,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
63,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
64,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
65,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
66,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
67,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
68,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
69,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
70,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
71,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
72,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
73,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
74,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
75,,1.600000e+308,,1.600000e+308,,1.600000e+308,,1.600000e+308,
