in s,C2 in V
2.86200304E-01,2.441490E+00
2.86200768E-01,2.440422E+00
2.86201232E-01,2.439048E+00
2.86201696E-01,2.439506E+00
2.86202160E-01,2.438896E+00
2.86202624E-01,2.439659E+00
2.86203088E-01,2.438591E+00
2.86203552E-01,2.438438E+00
2.86204016E-01,2.439048E+00
2.86204480E-01,2.439811E+00
2.86204944E-01,2.440880E+00
2.86205408E-01,2.438591E+00
2.86205872E-01,2.438438E+00
2.86206336E-01,2.440880E+00
2.86206800E-01,2.441642E+00
2.86207264E-01,2.439048E+00
2.86207728E-01,2.441185E+00
2.86208192E-01,2.439048E+00
2.86208656E-01,2.441490E+00
2.86209120E-01,2.440269E+00
2.86209584E-01,2.439659E+00
2.86210048E-01,2.438438E+00
2.86210512E-01,2.437828E+00
2.86210976E-01,2.438743E+00
2.86211440E-01,2.441032E+00
2.86211904E-01,2.440422E+00
2.86212368E-01,2.441490E+00
2.86212832E-01,2.441337E+00
2.86213296E-01,2.442100E+00
2.86213760E-01,2.441337E+00
2.86214224E-01,2.442558E+00
2.86214688E-01,2.441795E+00
2.86215152E-01,2.438438E+00
2.86215616E-01,2.439811E+00
2.86216080E-01,2.440574E+00
2.86216544E-01,2.440422E+00
2.86217008E-01,2.441795E+00
2.86217472E-01,2.439048E+00
2.86217936E-01,2.442863E+00
2.86218400E-01,2.441642E+00
2.86218864E-01,2.442100E+00
2.86219328E-01,2.442100E+00
2.86219792E-01,2.441185E+00
2.86220256E-01,2.439201E+00
2.86220720E-01,2.439964E+00
2.86221184E-01,2.440422E+00
2.86221648E-01,2.441948E+00
2.86222112E-01,2.441032E+00
2.86222576E-01,2.440269E+00
2.86223040E-01,2.441948E+00
2.86223504E-01,2.444999E+00
2.86223968E-01,2.441642E+00
2.86224432E-01,2.442100E+00
2.86224896E-01,2.441948E+00
2.86225360E-01,2.441795E+00
2.86225824E-01,2.442558E+00
2.86226288E-01,2.441642E+00
2.86226752E-01,2.442405E+00
2.86227216E-01,2.442558E+00
2.86227680E-01,2.443016E+00
2.86228144E-01,2.442558E+00
2.86228608E-01,2.442405E+00
2.86229072E-01,2.441337E+00
2.86229536E-01,2.442405E+00
2.86230000E-01,2.443779E+00
2.86230464E-01,2.441337E+00
2.86230928E-01,2.440269E+00
2.86231392E-01,2.440117E+00
2.86231856E-01,2.441490E+00
2.86232320E-01,2.441337E+00
2.86232784E-01,2.440574E+00
2.86233248E-01,2.442253E+00
2.86233712E-01,2.441032E+00
2.86234176E-01,2.441642E+00
2.86234640E-01,2.441490E+00
2.86235104E-01,2.440269E+00
2.86235568E-01,2.442100E+00
2.86236032E-01,2.440269E+00
2.86236496E-01,2.443168E+00
2.86236960E-01,2.443474E+00
2.86237424E-01,2.443626E+00
2.86237888E-01,2.441642E+00
2.86238352E-01,2.444694E+00
2.86238816E-01,2.445457E+00
2.86239280E-01,2.443474E+00
2.86239744E-01,2.443931E+00
2.86240208E-01,2.445305E+00
2.86240672E-01,2.442253E+00
2.86241136E-01,2.444542E+00
2.86241600E-01,2.442405E+00
2.86242064E-01,2.442863E+00
2.86242528E-01,2.444236E+00
2.86242992E-01,2.447136E+00
2.86243456E-01,2.446525E+00
2.86243920E-01,2.445610E+00
2.86244384E-01,2.445457E+00
2.86244848E-01,2.444847E+00
2.86245312E-01,2.445457E+00
2.86245776E-01,2.447593E+00
2.86246240E-01,2.444847E+00
2.86246704E-01,2.446068E+00
2.86247168E-01,2.446373E+00
2.86247632E-01,2.446830E+00
2.86248096E-01,2.446830E+00
2.86248560E-01,2.446983E+00
2.86249024E-01,2.446678E+00
2.86249488E-01,2.447746E+00
2.86249952E-01,2.445152E+00
2.86250416E-01,2.446983E+00
2.86250880E-01,2.444542E+00
2.86251344E-01,2.446983E+00
2.86251808E-01,2.445305E+00
2.86252272E-01,2.446068E+00
2.86252736E-01,2.446678E+00
2.86253200E-01,2.445762E+00
2.86253664E-01,2.445457E+00
2.86254128E-01,2.445305E+00
2.86254592E-01,2.445915E+00
2.86255056E-01,2.446525E+00
2.86255520E-01,2.446373E+00
2.86255984E-01,2.446220E+00
2.86256448E-01,2.447136E+00
2.86256912E-01,2.446830E+00
2.86257376E-01,2.446068E+00
2.86257840E-01,2.445762E+00
2.86258304E-01,2.446678E+00
2.86258768E-01,2.447136E+00
2.86259232E-01,2.447746E+00
2.86259696E-01,2.446373E+00
2.86260160E-01,2.446678E+00
2.86260624E-01,2.446220E+00
2.86261088E-01,2.445152E+00
2.86261552E-01,2.444236E+00
2.86262016E-01,2.444389E+00
2.86262480E-01,2.444847E+00
2.86262944E-01,2.443931E+00
2.86263408E-01,2.444999E+00
2.86263872E-01,2.443626E+00
2.86264336E-01,2.445457E+00
2.86264800E-01,2.446068E+00
2.86265264E-01,2.446830E+00
2.86265728E-01,2.449577E+00
2.86266192E-01,2.448509E+00
2.86266656E-01,2.446983E+00
2.86267120E-01,2.447288E+00
2.86267584E-01,2.446525E+00
2.86268048E-01,2.449577E+00
2.86268512E-01,2.448356E+00
2.86268976E-01,2.448204E+00
2.86269440E-01,2.447593E+00
2.86269904E-01,2.448356E+00
2.86270368E-01,2.446983E+00
2.86270832E-01,2.448356E+00
2.86271296E-01,2.446525E+00
2.86271760E-01,2.448967E+00
2.86272224E-01,2.446830E+00
2.86272688E-01,2.447288E+00
2.86273152E-01,2.445457E+00
2.86273616E-01,2.447593E+00
2.86274080E-01,2.447746E+00
2.86274544E-01,2.448356E+00
2.86275008E-01,2.447441E+00
2.86275472E-01,2.446830E+00
2.86275936E-01,2.447746E+00
2.86276400E-01,2.448661E+00
2.86276864E-01,2.446830E+00
2.86277328E-01,2.448814E+00
2.86277792E-01,2.448967E+00
2.86278256E-01,2.449272E+00
2.86278720E-01,2.447441E+00
2.86279184E-01,2.449424E+00
2.86279648E-01,2.448051E+00
2.86280112E-01,2.449577E+00
2.86280576E-01,2.447593E+00
2.86281040E-01,2.445915E+00
2.86281504E-01,2.445915E+00
2.86281968E-01,2.447593E+00
2.86282432E-01,2.449730E+00
2.86282896E-01,2.449272E+00
2.86283360E-01,2.449730E+00
2.86283824E-01,2.448509E+00
2.86284288E-01,2.448967E+00
2.86284752E-01,2.450187E+00
2.86285216E-01,2.448509E+00
2.86285680E-01,2.449730E+00
2.86286144E-01,2.449119E+00
2.86286608E-01,2.448967E+00
2.86287072E-01,2.450340E+00
2.86287536E-01,2.450798E+00
2.86288000E-01,2.449119E+00
2.86288464E-01,2.446678E+00
2.86288928E-01,2.448204E+00
2.86289392E-01,2.448967E+00
2.86289856E-01,2.450645E+00
