in s,C4 in V
2.94549984E-01,-2.6967896E-03
2.94550448E-01,-1.4486206E-03
2.94550912E-01,-1.8850220E-03
2.94551376E-01,-2.0162476E-03
2.94551840E-01,-1.7019165E-03
2.94552304E-01,-1.8575562E-03
2.94552768E-01,-2.0223511E-03
2.94553232E-01,-1.7934692E-03
2.94553696E-01,-2.1169556E-03
2.94554160E-01,-2.3061646E-03
2.94554624E-01,-1.4669312E-03
2.94555088E-01,-2.3122681E-03
2.94555552E-01,-2.8615845E-03
2.94556016E-01,-2.7334106E-03
2.94556480E-01,-3.4871948E-03
2.94556944E-01,-4.0822876E-03
2.94557408E-01,-4.2623413E-03
2.94557872E-01,-4.3142212E-03
2.94558336E-01,-4.4057739E-03
2.94558800E-01,-4.1524780E-03
2.94559264E-01,-4.6743286E-03
2.94559728E-01,-5.1656616E-03
2.94560192E-01,-4.6193970E-03
2.94560656E-01,-4.2318237E-03
2.94561120E-01,-3.7099731E-03
2.94561584E-01,-4.2714966E-03
2.94562048E-01,-4.7414673E-03
2.94562512E-01,-3.6825073E-03
2.94562976E-01,-3.0446899E-03
2.94563440E-01,-3.7649048E-03
2.94563904E-01,-5.5257690E-03
2.94564368E-01,-5.8431519E-03
2.94564832E-01,-4.9825562E-03
2.94565296E-01,-4.2959106E-03
2.94565760E-01,-3.9510620E-03
2.94566224E-01,-3.4017456E-03
2.94566688E-01,-3.2583130E-03
2.94567152E-01,-2.8097046E-03
2.94567616E-01,-3.4536255E-03
2.94568080E-01,-3.1637085E-03
2.94568544E-01,-3.2277954E-03
2.94569008E-01,-3.6001099E-03
2.94569472E-01,-4.4576538E-03
2.94569936E-01,-5.2358521E-03
2.94570400E-01,-5.1687134E-03
2.94570864E-01,-5.5349243E-03
2.94571328E-01,-5.3151978E-03
2.94571792E-01,-4.4759644E-03
2.94572256E-01,-4.6895874E-03
2.94572720E-01,-5.7515991E-03
2.94573184E-01,-6.2551392E-03
2.94573648E-01,-6.2429321E-03
2.94574112E-01,-6.4412964E-03
2.94574576E-01,-5.1351440E-03
2.94575040E-01,-5.6508911E-03
2.94575504E-01,-6.2215698E-03
2.94575968E-01,-6.2276733E-03
2.94576432E-01,-6.7617310E-03
2.94576896E-01,-6.5267456E-03
2.94577360E-01,-6.5084351E-03
2.94577824E-01,-6.1056030E-03
2.94578288E-01,-5.0161255E-03
2.94578752E-01,-5.6569946E-03
2.94579216E-01,-6.8441284E-03
2.94579680E-01,-6.2826050E-03
2.94580144E-01,-6.2642944E-03
2.94580608E-01,-6.1666382E-03
2.94581072E-01,-5.8492554E-03
2.94581536E-01,-6.3772095E-03
2.94582000E-01,-6.7739380E-03
2.94582464E-01,-7.9519165E-03
2.94582928E-01,-9.3404663E-03
2.94583392E-01,-8.4096802E-03
2.94583856E-01,-7.4575317E-03
2.94584320E-01,-7.6864136E-03
2.94584784E-01,-7.9030884E-03
2.94585248E-01,-8.9742554E-03
2.94585712E-01,-8.9528931E-03
2.94586176E-01,-8.3242310E-03
2.94586640E-01,-7.6925171E-03
2.94587104E-01,-8.4554565E-03
2.94587568E-01,-8.5042847E-03
2.94588032E-01,-8.3639038E-03
2.94588496E-01,-8.5470093E-03
2.94588960E-01,-7.8664673E-03
2.94589424E-01,-7.2042358E-03
2.94589888E-01,-7.8420532E-03
2.94590352E-01,-7.7871216E-03
2.94590816E-01,-6.5206421E-03
2.94591280E-01,-5.9530151E-03
2.94591744E-01,-6.7159546E-03
2.94592208E-01,-5.9011353E-03
2.94592672E-01,-6.2887085E-03
2.94593136E-01,-6.3375366E-03
2.94593600E-01,-6.5877808E-03
2.94594064E-01,-6.7495239E-03
2.94594528E-01,-7.6253784E-03
2.94594992E-01,-7.8756226E-03
2.94595456E-01,-6.9082153E-03
2.94595920E-01,-5.7027710E-03
2.94596384E-01,-6.1422241E-03
2.94596848E-01,-7.3171509E-03
2.94597312E-01,-8.4920776E-03
2.94597776E-01,-8.0922974E-03
2.94598240E-01,-6.8776978E-03
2.94598704E-01,-5.2755249E-03
2.94599168E-01,-5.3457153E-03
2.94599632E-01,-6.1422241E-03
2.94600096E-01,-7.4148071E-03
2.94600560E-01,-7.2622192E-03
2.94601024E-01,-6.5114868E-03
2.94601488E-01,-6.3527954E-03
2.94601952E-01,-7.8786743E-03
2.94602416E-01,-8.0129517E-03
2.94602880E-01,-7.9824341E-03
2.94603344E-01,-8.8369263E-03
2.94603808E-01,-9.1482056E-03
2.94604272E-01,-9.6853149E-03
2.94604736E-01,-1.0271252E-02
2.94605200E-01,-9.1512573E-03
2.94605664E-01,-8.3547485E-03
2.94606128E-01,-7.1248901E-03
2.94606592E-01,-7.9946411E-03
2.94607056E-01,-8.2692993E-03
2.94607520E-01,-8.6599243E-03
2.94607984E-01,-7.0821655E-03
2.94608448E-01,-7.1737183E-03
2.94608912E-01,-7.4727905E-03
2.94609376E-01,-8.3181274E-03
2.94609840E-01,-8.6477173E-03
2.94610304E-01,-8.0617798E-03
2.94610768E-01,-8.1106079E-03
2.94611232E-01,-8.5012329E-03
2.94611696E-01,-7.1493042E-03
2.94612160E-01,-5.5868042E-03
2.94612624E-01,-6.6701782E-03
2.94613088E-01,-6.9967163E-03
2.94613552E-01,-5.9072388E-03
2.94614016E-01,-5.2572144E-03
2.94614480E-01,-5.1809204E-03
2.94614944E-01,-5.0252808E-03
2.94615408E-01,-5.7760132E-03
2.94615872E-01,-6.0659302E-03
2.94616336E-01,-5.0954712E-03
2.94616800E-01,-5.5807007E-03
2.94617264E-01,-5.2907837E-03
2.94617728E-01,-5.6569946E-03
2.94618192E-01,-6.0781372E-03
2.94618656E-01,-5.6966675E-03
2.94619120E-01,-5.2511108E-03
2.94619584E-01,-5.0222290E-03
2.94620048E-01,-6.1086548E-03
2.94620512E-01,-5.8919800E-03
2.94620976E-01,-6.5938843E-03
2.94621440E-01,-8.0007446E-03
2.94621904E-01,-7.1706665E-03
2.94622368E-01,-7.4544800E-03
2.94622832E-01,-7.2500122E-03
2.94623296E-01,-7.7718628E-03
2.94623760E-01,-7.0821655E-03
2.94624224E-01,-5.6630981E-03
2.94624688E-01,-5.9896362E-03
2.94625152E-01,-5.9652222E-03
2.94625616E-01,-4.8757446E-03
2.94626080E-01,-6.6762817E-03
2.94626544E-01,-6.5969360E-03
2.94627008E-01,-7.9152954E-03
2.94627472E-01,-7.9122437E-03
2.94627936E-01,-7.4514282E-03
2.94628400E-01,-7.4605835E-03
2.94628864E-01,-6.9539917E-03
2.94629328E-01,-6.3070190E-03
2.94629792E-01,-6.2063110E-03
2.94630256E-01,-5.9865845E-03
2.94630720E-01,-5.4616821E-03
2.94631184E-01,-5.8614624E-03
2.94631648E-01,-6.1147583E-03
2.94632112E-01,-7.1615112E-03
2.94632576E-01,-6.8685425E-03
2.94633040E-01,-6.8471802E-03
2.94633504E-01,-6.8288696E-03
2.94633968E-01,-7.1035278E-03
2.94634432E-01,-7.7382935E-03
2.94634896E-01,-8.6263550E-03
2.94635360E-01,-8.5256470E-03
2.94635824E-01,-8.2784546E-03
2.94636288E-01,-8.8827026E-03
2.94636752E-01,-8.1655396E-03
2.94637216E-01,-7.9915894E-03
2.94637680E-01,-7.9915894E-03
2.94638144E-01,-6.4107788E-03
2.94638608E-01,-6.8532837E-03
2.94639072E-01,-5.9011353E-03
2.94639536E-01,-5.3914917E-03
2.94640000E-01,-4.7231567E-03
2.94640464E-01,-5.5837524E-03
2.94640928E-01,-4.8635376E-03
2.94641392E-01,-4.7201050E-03
2.94641856E-01,-5.4494751E-03
2.94642320E-01,-6.2368286E-03
2.94642784E-01,-5.8156860E-03
2.94643248E-01,-6.6060913E-03
2.94643712E-01,-5.2236450E-03
2.94644176E-01,-5.0527466E-03
2.94644640E-01,-4.6560181E-03
2.94645104E-01,-4.3477905E-03
2.94645568E-01,-3.5512817E-03
2.94646032E-01,-3.2735718E-03
2.94646496E-01,-3.1423462E-03
2.94646960E-01,-4.7384155E-03
2.94647424E-01,-6.6732300E-03
2.94647888E-01,-8.2784546E-03
2.94648352E-01,-7.6650513E-03
2.94648816E-01,-6.7830933E-03
2.94649280E-01,-5.8431519E-03
2.94649744E-01,-5.0374878E-03
2.94650208E-01,-5.2236450E-03
2.94650672E-01,-5.2266968E-03
2.94651136E-01,-5.8034790E-03
2.94651600E-01,-4.9398315E-03
2.94652064E-01,-4.2959106E-03
2.94652528E-01,-5.4494751E-03
2.94652992E-01,-5.9896362E-03
2.94653456E-01,-6.1696899E-03
2.94653920E-01,-6.0720337E-03
2.94654384E-01,-6.4168823E-03
2.94654848E-01,-5.6417358E-03
2.94655312E-01,-5.5959595E-03
2.94655776E-01,-4.6834839E-03
2.94656240E-01,-4.1860474E-03
2.94656704E-01,-3.7832153E-03
2.94657168E-01,-3.9998901E-03
2.94657632E-01,-4.3599976E-03
2.94658096E-01,-4.9215210E-03
2.94658560E-01,-4.8848999E-03
2.94659024E-01,-5.5532349E-03
2.94659488E-01,-6.0506714E-03
2.94659952E-01,-6.1025513E-03
2.94660416E-01,-5.7607544E-03
2.94660880E-01,-4.8696411E-03
2.94661344E-01,-4.2653931E-03
2.94661808E-01,-3.5634888E-03
2.94662272E-01,-4.1677368E-03
2.94662736E-01,-4.6651733E-03
2.94663200E-01,-5.6600464E-03
2.94663664E-01,-4.9795044E-03
2.94664128E-01,-5.3945435E-03
2.94664592E-01,-6.8349731E-03
2.94665056E-01,-7.3415649E-03
2.94665520E-01,-8.0587280E-03
2.94665984E-01,-7.1432007E-03
2.94666448E-01,-6.4443481E-03
2.94666912E-01,-6.7891968E-03
2.94667376E-01,-6.6793335E-03
2.94667840E-01,-6.1513794E-03
2.94668304E-01,-5.9286011E-03
2.94668768E-01,-5.9163940E-03
2.94669232E-01,-5.6508911E-03
2.94669696E-01,-4.9703491E-03
2.94670160E-01,-5.1107300E-03
2.94670624E-01,-4.4698608E-03
2.94671088E-01,-4.5949829E-03
2.94671552E-01,-4.0761841E-03
2.94672016E-01,-4.3538940E-03
2.94672480E-01,-6.0171021E-03
2.94672944E-01,-7.3202026E-03
2.94673408E-01,-7.5887573E-03
2.94673872E-01,-7.5399292E-03
2.94674336E-01,-7.9610718E-03
2.94674800E-01,-8.2021606E-03
2.94675264E-01,-6.8288696E-03
2.94675728E-01,-4.9764526E-03
2.94676192E-01,-4.6560181E-03
2.94676656E-01,-4.8452271E-03
2.94677120E-01,-4.9123657E-03
2.94677584E-01,-4.7567261E-03
2.94678048E-01,-4.1494263E-03
2.94678512E-01,-3.5055054E-03
2.94678976E-01,-3.3223999E-03
2.94679440E-01,-4.8787964E-03
2.94679904E-01,-4.4759644E-03
2.94680368E-01,-4.7262085E-03
2.94680832E-01,-4.6560181E-03
2.94681296E-01,-5.1504028E-03
2.94681760E-01,-5.2328003E-03
2.94682224E-01,-4.8574341E-03
2.94682688E-01,-5.7454956E-03
2.94683152E-01,-6.3070190E-03
2.94683616E-01,-5.7424438E-03
2.94684080E-01,-6.4473999E-03
2.94684544E-01,-6.0354126E-03
2.94685008E-01,-5.9072388E-03
2.94685472E-01,-5.9408081E-03
2.94685936E-01,-6.1483276E-03
2.94686400E-01,-7.0363892E-03
2.94686864E-01,-6.9936646E-03
2.94687328E-01,-6.0933960E-03
2.94687792E-01,-6.0689819E-03
2.94688256E-01,-5.5196655E-03
2.94688720E-01,-5.7699097E-03
2.94689184E-01,-5.7180298E-03
2.94689648E-01,-5.5227173E-03
2.94690112E-01,-6.5664185E-03
2.94690576E-01,-6.0964478E-03
2.94691040E-01,-5.9743774E-03
2.94691504E-01,-5.6875122E-03
2.94691968E-01,-5.9469116E-03
2.94692432E-01,-5.1992310E-03
2.94692896E-01,-6.5145386E-03
2.94693360E-01,-7.2591675E-03
2.94693824E-01,-8.0221069E-03
2.94694288E-01,-7.6436890E-03
2.94694752E-01,-6.4657104E-03
2.94695216E-01,-5.7180298E-03
2.94695680E-01,-4.7811401E-03
2.94696144E-01,-3.8198364E-03
2.94696608E-01,-4.1921509E-03
2.94697072E-01,-5.3182495E-03
2.94697536E-01,-6.4168823E-03
2.94698000E-01,-6.3466919E-03
2.94698464E-01,-7.2469604E-03
2.94698928E-01,-5.9621704E-03
2.94699392E-01,-6.0109985E-03
2.94699856E-01,-6.2276733E-03
2.94700320E-01,-5.7821167E-03
2.94700784E-01,-5.5257690E-03
2.94701248E-01,-5.9072388E-03
2.94701712E-01,-6.6518677E-03
2.94702176E-01,-5.6203735E-03
2.94702640E-01,-4.1677368E-03
2.94703104E-01,-4.0426147E-03
2.94703568E-01,-4.1555298E-03
2.94704032E-01,-4.2287720E-03
2.94704496E-01,-4.2379272E-03
2.94704960E-01,-2.9256714E-03
2.94705424E-01,-2.9683960E-03
2.94705888E-01,-3.7465942E-03
2.94706352E-01,-4.0578735E-03
2.94706816E-01,-4.4179810E-03
2.94707280E-01,-4.8116577E-03
2.94707744E-01,-5.0069702E-03
2.94708208E-01,-5.3274048E-03
2.94708672E-01,-4.6895874E-03
2.94709136E-01,-4.1402710E-03
2.94709600E-01,-4.7597778E-03
2.94710064E-01,-4.4759644E-03
2.94710528E-01,-4.4881714E-03
2.94710992E-01,-4.7231567E-03
2.94711456E-01,-4.3447388E-03
2.94711920E-01,-4.6346558E-03
2.94712384E-01,-3.9937866E-03
2.94712848E-01,-4.3874634E-03
2.94713312E-01,-4.2898071E-03
2.94713776E-01,-4.5980347E-03
2.94714240E-01,-4.8391235E-03
2.94714704E-01,-4.0548218E-03
2.94715168E-01,-4.3081177E-03
2.94715632E-01,-4.3416870E-03
2.94716096E-01,-3.8228882E-03
2.94716560E-01,-5.6844604E-03
2.94717024E-01,-6.5816772E-03
2.94717488E-01,-6.0048950E-03
2.94717952E-01,-5.2389038E-03
2.94718416E-01,-6.2703979E-03
2.94718880E-01,-6.0140503E-03
2.94719344E-01,-6.0567749E-03
2.94719808E-01,-6.9906128E-03
2.94720272E-01,-7.0302856E-03
2.94720736E-01,-6.2490356E-03
2.94721200E-01,-6.9082153E-03
2.94721664E-01,-6.7495239E-03
2.94722128E-01,-6.9600952E-03
2.94722592E-01,-6.5359009E-03
2.94723056E-01,-6.9021118E-03
2.94723520E-01,-6.5908325E-03
2.94723984E-01,-6.7006958E-03
2.94724448E-01,-5.5471313E-03
2.94724912E-01,-5.1351440E-03
2.94725376E-01,-6.1147583E-03
