"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-07",
"Time","10:49:55",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Phase",,"Peak Peak",,
"Source 1",,"C1",,"C2",,"C1",,"C2",,
"Source 2",,,,,,"C2",,,,
"Unit",,V,,V,,,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,10599,,10599,,10599,,10599,,
"Current",,2.528400e+00,,2.518600e+00,,nan,,2.631300e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.425500e+00,,1.964900e+00,,6.045506e+01,,7.840000e-02,,
"Max",,3.385900e+00,,2.538200e+00,,9.118452e+01,,2.655800e+00,,
"Mean",,2.499157e+00,,2.441925e+00,,6.094508e+01,,7.523999e-01,,
"StdDev",,7.082950e-02,,7.385280e-02,,2.622411e+00,,1.111511e+00,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.425500e+00,,1.964900e+00,,6.045506e+01,,7.840000e-02,,
"Long term Max",,3.385900e+00,,2.538200e+00,,9.118452e+01,,2.655800e+00,,
"Long term Mean",,2.438377e+00,,2.377147e+00,,6.071631e+01,,2.411574e+00,,
"Long term StdDev",,2.905700e-02,,1.808590e-02,,3.999600e-01,,6.348636e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.430400e+00,,2.371600e+00,,6.069350e+01,,2.572500e+00,
2,,2.430400e+00,,2.381400e+00,,6.078277e+01,,2.577400e+00,
3,,2.435300e+00,,2.366700e+00,,6.075108e+01,,2.577400e+00,
4,,2.435300e+00,,2.371600e+00,,6.068371e+01,,2.582300e+00,
5,,2.430400e+00,,2.381400e+00,,6.071656e+01,,2.587200e+00,
6,,2.435300e+00,,2.386300e+00,,6.077244e+01,,2.597000e+00,
7,,2.435300e+00,,2.361800e+00,,6.068371e+01,,2.572500e+00,
8,,2.430400e+00,,2.391200e+00,,6.071594e+01,,2.597000e+00,
9,,2.430400e+00,,2.381400e+00,,6.071198e+01,,2.582300e+00,
10,,2.435300e+00,,2.361800e+00,,6.074704e+01,,2.567600e+00,
11,,2.430400e+00,,2.386300e+00,,6.068658e+01,,2.592100e+00,
12,,2.430400e+00,,2.371600e+00,,6.078106e+01,,2.582300e+00,
13,,2.430400e+00,,2.391200e+00,,6.075337e+01,,2.597000e+00,
14,,2.430400e+00,,2.381400e+00,,6.069237e+01,,2.592100e+00,
15,,2.430400e+00,,2.381400e+00,,6.077011e+01,,2.587200e+00,
16,,2.435300e+00,,2.391200e+00,,6.071885e+01,,2.597000e+00,
17,,2.430400e+00,,2.386300e+00,,6.070844e+01,,2.587200e+00,
18,,2.435300e+00,,2.376500e+00,,6.069753e+01,,2.587200e+00,
19,,2.430400e+00,,2.376500e+00,,6.071769e+01,,2.577400e+00,
20,,2.430400e+00,,2.391200e+00,,6.073501e+01,,2.597000e+00,
21,,2.430400e+00,,2.381400e+00,,6.071715e+01,,2.587200e+00,
22,,2.430400e+00,,2.381400e+00,,6.070678e+01,,2.582300e+00,
23,,2.435300e+00,,2.376500e+00,,6.068313e+01,,2.597000e+00,
24,,2.430400e+00,,2.381400e+00,,6.073089e+01,,2.587200e+00,
25,,2.430400e+00,,2.381400e+00,,6.069808e+01,,2.587200e+00,
26,,2.435300e+00,,2.396100e+00,,6.073726e+01,,2.601900e+00,
27,,2.435300e+00,,2.366700e+00,,6.066301e+01,,2.577400e+00,
28,,2.425500e+00,,2.381400e+00,,6.071190e+01,,2.592100e+00,
29,,2.435300e+00,,2.381400e+00,,6.066414e+01,,2.582300e+00,
30,,2.430400e+00,,2.376500e+00,,6.072976e+01,,2.582300e+00,
31,,2.430400e+00,,2.376500e+00,,6.074363e+01,,2.587200e+00,
32,,2.435300e+00,,2.376500e+00,,6.074708e+01,,2.592100e+00,
33,,2.430400e+00,,2.376500e+00,,6.072743e+01,,2.582300e+00,
34,,2.435300e+00,,2.371600e+00,,6.075283e+01,,2.582300e+00,
35,,2.430400e+00,,2.381400e+00,,6.069466e+01,,2.577400e+00,
36,,2.435300e+00,,2.391200e+00,,6.072693e+01,,2.601900e+00,
37,,2.430400e+00,,2.366700e+00,,6.068833e+01,,2.572500e+00,
38,,2.430400e+00,,2.381400e+00,,6.072805e+01,,2.592100e+00,
39,,2.435300e+00,,2.366700e+00,,6.072572e+01,,2.577400e+00,
40,,2.430400e+00,,2.381400e+00,,6.069008e+01,,2.592100e+00,
41,,2.435300e+00,,2.366700e+00,,6.071307e+01,,2.577400e+00,
42,,2.435300e+00,,2.376500e+00,,6.068192e+01,,2.587200e+00,
43,,2.430400e+00,,2.371600e+00,,6.070386e+01,,2.582300e+00,
44,,2.430400e+00,,2.366700e+00,,6.074529e+01,,2.577400e+00,
45,,2.435300e+00,,2.371600e+00,,6.074017e+01,,2.577400e+00,
46,,2.430400e+00,,2.376500e+00,,6.072693e+01,,2.582300e+00,
47,,2.430400e+00,,2.386300e+00,,6.079026e+01,,2.587200e+00,
48,,2.435300e+00,,2.376500e+00,,6.075454e+01,,2.587200e+00,
49,,2.435300e+00,,2.391200e+00,,6.071427e+01,,2.597000e+00,
50,,2.430400e+00,,2.366700e+00,,6.069928e+01,,2.582300e+00,
51,,2.435300e+00,,2.371600e+00,,6.070394e+01,,2.582300e+00,
52,,2.425500e+00,,2.381400e+00,,6.071194e+01,,2.587200e+00,
53,,2.435300e+00,,2.371600e+00,,6.075346e+01,,2.577400e+00,
54,,2.430400e+00,,2.381400e+00,,6.068717e+01,,2.577400e+00,
55,,2.430400e+00,,2.381400e+00,,6.072460e+01,,2.587200e+00,
56,,2.430400e+00,,2.371600e+00,,6.068429e+01,,2.582300e+00,
57,,2.435300e+00,,2.366700e+00,,6.076032e+01,,2.577400e+00,
58,,2.430400e+00,,2.376500e+00,,6.074538e+01,,2.577400e+00,
59,,2.435300e+00,,2.376500e+00,,6.075979e+01,,2.587200e+00,
60,,2.430400e+00,,2.391200e+00,,6.075162e+01,,2.597000e+00,
61,,2.435300e+00,,2.371600e+00,,6.070678e+01,,2.587200e+00,
62,,2.430400e+00,,2.386300e+00,,6.073730e+01,,2.592100e+00,
63,,2.430400e+00,,2.391200e+00,,6.068887e+01,,2.606800e+00,
64,,2.435300e+00,,2.371600e+00,,6.073896e+01,,2.592100e+00,
65,,2.435300e+00,,2.366700e+00,,6.070382e+01,,2.572500e+00,
66,,2.430400e+00,,2.391200e+00,,6.070561e+01,,2.601900e+00,
67,,2.430400e+00,,2.391200e+00,,6.072922e+01,,2.592100e+00,
68,,2.435300e+00,,2.391200e+00,,6.076607e+01,,2.592100e+00,
69,,2.430400e+00,,2.381400e+00,,6.072697e+01,,2.577400e+00,
70,,2.430400e+00,,2.371600e+00,,6.073209e+01,,2.572500e+00,
71,,2.430400e+00,,2.391200e+00,,6.070965e+01,,2.597000e+00,
72,,2.430400e+00,,2.371600e+00,,6.074246e+01,,2.577400e+00,
73,,2.435300e+00,,2.371600e+00,,6.072289e+01,,2.577400e+00,
74,,2.435300e+00,,2.381400e+00,,6.072460e+01,,2.587200e+00,
75,,2.435300e+00,,2.381400e+00,,6.071419e+01,,2.592100e+00,
76,,2.430400e+00,,2.371600e+00,,6.068487e+01,,2.597000e+00,
77,,2.430400e+00,,2.376500e+00,,6.069978e+01,,2.587200e+00,
78,,2.430400e+00,,2.366700e+00,,6.071311e+01,,2.577400e+00,
79,,2.430400e+00,,2.371600e+00,,6.070045e+01,,2.577400e+00,
80,,2.430400e+00,,2.386300e+00,,6.073209e+01,,2.597000e+00,
81,,2.430400e+00,,2.386300e+00,,6.076836e+01,,2.587200e+00,
82,,2.435300e+00,,2.371600e+00,,6.079201e+01,,2.582300e+00,
83,,2.430400e+00,,2.391200e+00,,6.066585e+01,,2.597000e+00,
84,,2.435300e+00,,2.381400e+00,,6.074937e+01,,2.587200e+00,
85,,2.435300e+00,,2.381400e+00,,6.074421e+01,,2.582300e+00,
86,,2.435300e+00,,2.376500e+00,,6.073209e+01,,2.592100e+00,
87,,2.430400e+00,,2.371600e+00,,6.076728e+01,,2.582300e+00,
88,,2.430400e+00,,2.381400e+00,,6.071252e+01,,2.577400e+00,
89,,2.435300e+00,,2.381400e+00,,6.076257e+01,,2.587200e+00,
90,,2.435300e+00,,2.371600e+00,,6.068775e+01,,2.577400e+00,
91,,2.435300e+00,,2.376500e+00,,6.071077e+01,,2.587200e+00,
92,,2.435300e+00,,2.386300e+00,,6.075916e+01,,2.597000e+00,
93,,2.430400e+00,,2.371600e+00,,6.073438e+01,,2.592100e+00,
94,,2.430400e+00,,2.391200e+00,,6.072581e+01,,2.597000e+00,
95,,2.435300e+00,,2.381400e+00,,6.074067e+01,,2.587200e+00,
96,,2.430400e+00,,2.376500e+00,,6.067047e+01,,2.582300e+00,
97,,2.430400e+00,,2.386300e+00,,6.072810e+01,,2.582300e+00,
98,,2.435300e+00,,2.371600e+00,,6.069866e+01,,2.577400e+00,
99,,2.435300e+00,,2.391200e+00,,6.075454e+01,,2.587200e+00,
100,,2.430400e+00,,2.381400e+00,,6.075108e+01,,2.592100e+00,
101,,2.430400e+00,,2.366700e+00,,6.071889e+01,,2.592100e+00,
102,,2.430400e+00,,2.376500e+00,,6.067163e+01,,2.582300e+00,
103,,2.435300e+00,,2.376500e+00,,6.070682e+01,,2.587200e+00,
104,,2.430400e+00,,2.391200e+00,,6.074996e+01,,2.601900e+00,
105,,2.430400e+00,,2.381400e+00,,6.076832e+01,,2.587200e+00,
106,,2.435300e+00,,2.381400e+00,,6.068258e+01,,2.592100e+00,
