"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-07",
"Time","10:53:02",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Phase",,"Peak Peak",,
"Source 1",,"C1",,"C2",,"C1",,"C2",,
"Source 2",,,,,,"C2",,,,
"Unit",,V,,V,,,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,280,,280,,280,,280,,
"Current",,2.503900e+00,,2.508800e+00,,nan,,2.709700e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.410800e+00,,2.405900e+00,,2.420575e+01,,8.820000e-02,,
"Max",,2.528400e+00,,2.533300e+00,,2.420575e+01,,2.739100e+00,,
"Mean",,2.502484e+00,,2.515386e+00,,2.420575e+01,,2.462618e+00,,
"StdDev",,2.774870e-02,,1.128960e-02,,0.000000e+00,,7.735238e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.410800e+00,,2.405900e+00,,2.420575e+01,,8.820000e-02,,
"Long term Max",,2.528400e+00,,2.533300e+00,,2.420575e+01,,2.739100e+00,,
"Long term Mean",,2.502484e+00,,2.515386e+00,,2.420575e+01,,2.462618e+00,,
"Long term StdDev",,2.779770e-02,,1.131410e-02,,0.000000e+00,,7.749105e-01,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.513700e+00,,2.508800e+00,,1.600000e+308,,2.719500e+00,
2,,2.513700e+00,,2.528400e+00,,1.600000e+308,,2.739100e+00,
3,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
4,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.724400e+00,
5,,2.518600e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
6,,2.503900e+00,,2.528400e+00,,1.600000e+308,,2.734200e+00,
7,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.724400e+00,
8,,2.513700e+00,,2.508800e+00,,1.600000e+308,,2.709700e+00,
9,,2.513700e+00,,2.518600e+00,,1.600000e+308,,2.724400e+00,
10,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.724400e+00,
11,,2.503900e+00,,2.528400e+00,,1.600000e+308,,2.729300e+00,
12,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
13,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.729300e+00,
14,,2.518600e+00,,2.528400e+00,,1.600000e+308,,2.724400e+00,
15,,2.518600e+00,,2.518600e+00,,1.600000e+308,,2.729300e+00,
16,,2.518600e+00,,2.513700e+00,,1.600000e+308,,2.719500e+00,
17,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.729300e+00,
18,,2.503900e+00,,2.523500e+00,,1.600000e+308,,2.724400e+00,
19,,2.513700e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
20,,2.513700e+00,,2.518600e+00,,1.600000e+308,,2.714600e+00,
21,,2.508800e+00,,2.528400e+00,,1.600000e+308,,2.729300e+00,
22,,2.513700e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
23,,2.513700e+00,,2.518600e+00,,1.600000e+308,,2.714600e+00,
24,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.704800e+00,
25,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.724400e+00,
