"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-07",
"Time","10:54:53",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Phase",,"Peak Peak",,
"Source 1",,"C1",,"C2",,"C1",,"C2",,
"Source 2",,,,,,"C2",,,,
"Unit",,V,,V,,,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1144,,1144,,1144,,1144,,
"Current",,2.415700e+00,,2.391200e+00,,nan,,2.616600e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,2.263800e+00,,1.234800e+00,,1.219249e+01,,7.840000e-02,,
"Max",,3.121300e+00,,2.533300e+00,,2.420575e+01,,2.739100e+00,,
"Mean",,2.497403e+00,,2.467228e+00,,1.819912e+01,,1.577286e+00,,
"StdDev",,7.170170e-02,,6.599320e-02,,6.006626e+00,,1.263681e+00,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,2.263800e+00,,1.234800e+00,,1.219249e+01,,7.840000e-02,,
"Long term Max",,3.121300e+00,,2.533300e+00,,2.420575e+01,,2.739100e+00,,
"Long term Mean",,2.499608e+00,,2.477759e+00,,1.819912e+01,,1.721546e+00,,
"Long term StdDev",,6.589520e-02,,6.279840e-02,,8.494652e+00,,1.241420e+00,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.503900e+00,,2.513700e+00,,1.600000e+308,,2.714600e+00,
2,,2.518600e+00,,2.518600e+00,,1.600000e+308,,2.714600e+00,
3,,2.513700e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
4,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.714600e+00,
5,,2.518600e+00,,2.523500e+00,,1.600000e+308,,2.724400e+00,
6,,2.508800e+00,,2.528400e+00,,1.600000e+308,,2.729300e+00,
7,,2.518600e+00,,2.518600e+00,,1.600000e+308,,2.714600e+00,
8,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.724400e+00,
9,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.724400e+00,
10,,2.503900e+00,,2.533300e+00,,1.600000e+308,,2.734200e+00,
11,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
12,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
13,,2.513700e+00,,2.518600e+00,,1.600000e+308,,2.709700e+00,
14,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
15,,2.503900e+00,,2.533300e+00,,1.600000e+308,,2.739100e+00,
16,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.709700e+00,
17,,2.503900e+00,,2.533300e+00,,1.600000e+308,,2.734200e+00,
18,,2.503900e+00,,2.528400e+00,,1.600000e+308,,2.724400e+00,
19,,2.523500e+00,,2.518600e+00,,1.600000e+308,,2.714600e+00,
20,,2.503900e+00,,2.528400e+00,,1.600000e+308,,2.724400e+00,
21,,2.503900e+00,,2.523500e+00,,1.600000e+308,,2.719500e+00,
22,,2.503900e+00,,2.523500e+00,,1.600000e+308,,2.724400e+00,
23,,2.518600e+00,,2.518600e+00,,1.600000e+308,,2.709700e+00,
24,,2.508800e+00,,2.523500e+00,,1.600000e+308,,2.719500e+00,
25,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.719500e+00,
26,,2.518600e+00,,2.503900e+00,,1.600000e+308,,2.709700e+00,
27,,2.513700e+00,,2.528400e+00,,1.600000e+308,,2.724400e+00,
28,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.714600e+00,
29,,2.518600e+00,,2.513700e+00,,1.600000e+308,,2.714600e+00,
30,,2.503900e+00,,2.528400e+00,,1.600000e+308,,2.724400e+00,
31,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.724400e+00,
32,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.719500e+00,
33,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.729300e+00,
34,,2.523500e+00,,2.508800e+00,,1.600000e+308,,2.719500e+00,
35,,2.518600e+00,,2.513700e+00,,1.600000e+308,,2.719500e+00,
36,,2.503900e+00,,2.523500e+00,,1.600000e+308,,2.724400e+00,
37,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.729300e+00,
38,,2.513700e+00,,2.508800e+00,,1.600000e+308,,2.709700e+00,
39,,2.518600e+00,,2.508800e+00,,1.600000e+308,,2.709700e+00,
40,,2.513700e+00,,2.508800e+00,,1.600000e+308,,2.719500e+00,
41,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
42,,2.503900e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
43,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.714600e+00,
44,,2.518600e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
45,,2.513700e+00,,2.508800e+00,,1.600000e+308,,2.709700e+00,
46,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.719500e+00,
47,,2.513700e+00,,2.513700e+00,,1.600000e+308,,2.719500e+00,
48,,2.503900e+00,,2.533300e+00,,1.600000e+308,,2.729300e+00,
49,,2.508800e+00,,2.518600e+00,,1.600000e+308,,2.719500e+00,
50,,2.508800e+00,,2.523500e+00,,1.600000e+308,,2.724400e+00,
51,,2.518600e+00,,2.508800e+00,,1.600000e+308,,2.709700e+00,
52,,2.523500e+00,,2.518600e+00,,1.600000e+308,,2.724400e+00,
53,,2.513700e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
54,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
55,,2.415700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
56,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
57,,2.508800e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
58,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
59,,2.410800e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
60,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
61,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
62,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
63,,2.410800e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
64,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
65,,2.415700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
66,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
67,,2.410800e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
68,,2.415700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
69,,2.410800e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
70,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
71,,2.410800e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
72,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
73,,2.410800e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
74,,2.415700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
75,,2.410800e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
76,,2.513700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
77,,2.410800e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
78,,2.415700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
79,,2.503900e+00,,2.499000e+00,,1.600000e+308,,2.695000e+00,
80,,2.415700e+00,,2.405900e+00,,2.420575e+01,,2.704800e+00,
81,,2.513700e+00,,2.499000e+00,,1.600000e+308,,2.690100e+00,
82,,2.503900e+00,,1.600000e+308,,1.600000e+308,,1.715000e-01,
83,,2.503900e+00,,2.503900e+00,,1.600000e+308,,2.699900e+00,
84,,2.503900e+00,,2.503900e+00,,1.600000e+308,,2.695000e+00,
85,,2.508800e+00,,2.499000e+00,,1.600000e+308,,2.695000e+00,
86,,2.503900e+00,,2.499000e+00,,1.600000e+308,,2.695000e+00,
87,,2.518600e+00,,2.499000e+00,,1.600000e+308,,2.695000e+00,
88,,2.503900e+00,,2.499000e+00,,1.600000e+308,,2.690100e+00,
89,,2.513700e+00,,2.499000e+00,,1.600000e+308,,2.695000e+00,
90,,2.513700e+00,,2.499000e+00,,1.600000e+308,,2.690100e+00,
91,,2.513700e+00,,2.503900e+00,,1.600000e+308,,2.685200e+00,
92,,2.499000e+00,,2.499000e+00,,1.600000e+308,,2.695000e+00,
93,,2.503900e+00,,2.503900e+00,,1.600000e+308,,2.699900e+00,
94,,2.503900e+00,,2.503900e+00,,1.600000e+308,,2.699900e+00,
95,,2.513700e+00,,2.508800e+00,,1.600000e+308,,2.704800e+00,
96,,2.503900e+00,,2.499000e+00,,1.600000e+308,,2.695000e+00,
97,,2.518600e+00,,2.499000e+00,,1.600000e+308,,2.685200e+00,
98,,2.508800e+00,,2.508800e+00,,1.600000e+308,,2.695000e+00,
99,,2.513700e+00,,2.499000e+00,,1.600000e+308,,2.685200e+00,
100,,2.518600e+00,,2.499000e+00,,1.600000e+308,,2.685200e+00,
101,,2.518600e+00,,2.499000e+00,,1.600000e+308,,2.690100e+00,
102,,2.518600e+00,,2.499000e+00,,1.600000e+308,,2.690100e+00,
103,,2.518600e+00,,2.503900e+00,,1.600000e+308,,2.695000e+00,
104,,2.503900e+00,,2.503900e+00,,1.600000e+308,,2.699900e+00,
105,,2.513700e+00,,2.503900e+00,,1.600000e+308,,2.685200e+00,
106,,2.503900e+00,,2.499000e+00,,1.600000e+308,,2.699900e+00,
107,,2.513700e+00,,2.499000e+00,,1.600000e+308,,2.685200e+00,
108,,2.513700e+00,,2.503900e+00,,1.600000e+308,,2.704800e+00,
