"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-07",
"Time","10:55:32",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Phase",,"Peak Peak",,
"Source 1",,"C1",,"C2",,"C1",,"C2",,
"Source 2",,,,,,"C2",,,,
"Unit",,V,,V,,,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1440,,1440,,1440,,1440,,
"Current",,2.528400e+00,,2.396100e+00,,nan,,2.601900e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,9.359000e-01,,9.212000e-01,,1.219249e+01,,7.840000e-02,,
"Max",,3.121300e+00,,2.484300e+00,,1.219249e+01,,2.690100e+00,,
"Mean",,2.482311e+00,,2.421066e+00,,1.219249e+01,,1.474469e+00,,
"StdDev",,1.168552e-01,,9.267860e-02,,0.000000e+00,,1.253180e+00,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,9.359000e-01,,9.212000e-01,,1.219249e+01,,7.840000e-02,,
"Long term Max",,3.121300e+00,,2.533300e+00,,2.420575e+01,,2.739100e+00,,
"Long term Mean",,2.492008e+00,,2.460280e+00,,1.819912e+01,,1.783051e+00,,
"Long term StdDev",,9.222290e-02,,8.292760e-02,,8.494652e+00,,1.214264e+00,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,2.528400e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
2,,2.513700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
3,,2.528400e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
4,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
5,,2.528400e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
6,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
7,,2.528400e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
8,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
9,,2.381400e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
10,,2.523500e+00,,1.600000e+308,,1.600000e+308,,8.330000e-02,
11,,2.528400e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
12,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
13,,2.533300e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
14,,2.518600e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
15,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
16,,2.513700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
17,,2.528400e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
18,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
19,,2.528400e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
20,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
21,,2.528400e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
22,,2.523500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
23,,2.538200e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
24,,2.381400e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
