"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-07",
"Time","10:56:23",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Amplitude",,"Amplitude",,"Phase",,"Peak Peak",,
"Source 1",,"C1",,"C2",,"C1",,"C2",,
"Source 2",,,,,,"C2",,,,
"Unit",,V,,V,,,,V,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1829,,1829,,1829,,1829,,
"Current",,2.499000e+00,,2.391200e+00,,nan,,2.601900e+00,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,9.359000e-01,,9.212000e-01,,1.219249e+01,,7.840000e-02,,
"Max",,2.998800e+00,,2.450000e+00,,1.219249e+01,,2.631300e+00,,
"Mean",,2.485064e+00,,2.398991e+00,,1.219249e+01,,2.164291e+00,,
"StdDev",,8.985620e-02,,6.539540e-02,,0.000000e+00,,9.458715e-01,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,9.359000e-01,,9.212000e-01,,1.219249e+01,,7.840000e-02,,
"Long term Max",,3.121300e+00,,2.533300e+00,,2.420575e+01,,2.739100e+00,,
"Long term Mean",,2.500769e+00,,2.439176e+00,,1.819912e+01,,1.954649e+00,,
"Long term StdDev",,8.233960e-02,,8.047760e-02,,8.494652e+00,,1.128705e+00,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
2,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
3,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
4,,1.600000e+308,,1.600000e+308,,1.600000e+308,,8.820000e-02,
5,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
6,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
7,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
8,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
9,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
10,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
11,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
12,,1.600000e+308,,1.600000e+308,,1.600000e+308,,8.820000e-02,
13,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
14,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
15,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
16,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
17,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
18,,1.600000e+308,,1.600000e+308,,1.600000e+308,,8.820000e-02,
19,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.800000e-02,
20,,1.600000e+308,,1.600000e+308,,1.600000e+308,,8.820000e-02,
21,,1.600000e+308,,1.600000e+308,,1.600000e+308,,8.820000e-02,
22,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
23,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
24,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
25,,1.600000e+308,,1.600000e+308,,1.600000e+308,,9.310000e-02,
26,,1.600000e+308,,1.600000e+308,,1.600000e+308,,8.820000e-02,
27,,2.464700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
28,,2.459800e+00,,1.600000e+308,,1.600000e+308,,8.330000e-02,
29,,2.464700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
30,,2.459800e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
31,,2.464700e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
32,,2.464700e+00,,1.600000e+308,,1.600000e+308,,1.029000e-01,
33,,2.464700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
34,,2.459800e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
35,,2.464700e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
36,,2.464700e+00,,1.600000e+308,,1.600000e+308,,1.029000e-01,
37,,2.464700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
38,,2.459800e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
39,,2.352000e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
40,,2.459800e+00,,1.600000e+308,,1.600000e+308,,1.029000e-01,
41,,2.469600e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
42,,2.459800e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
43,,2.352000e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
44,,2.459800e+00,,1.600000e+308,,1.600000e+308,,9.800000e-02,
45,,2.474500e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
46,,2.464700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
47,,2.464700e+00,,1.600000e+308,,1.600000e+308,,8.820000e-02,
48,,2.469600e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
49,,2.469600e+00,,1.600000e+308,,1.600000e+308,,9.310000e-02,
