in Hz,Spectrum in dBm
0.00000E+00,1.90144E+01
1.14901E+01,2.18144E+01
2.29801E+01,2.11544E+01
3.44702E+01,2.00344E+01
4.59602E+01,1.83344E+01
5.74503E+01,1.58744E+01
6.89403E+01,1.22944E+01
8.04304E+01,6.49443E+00
9.19204E+01,-9.46557E+00
1.03410E+02,7.34432E-01
1.14901E+02,6.37443E+00
1.26391E+02,8.39443E+00
1.37881E+02,8.71443E+00
1.49371E+02,7.79443E+00
1.60861E+02,5.51443E+00
1.72351E+02,1.13443E+00
1.83841E+02,-9.58557E+00
1.95331E+02,-7.40557E+00
2.06821E+02,3.54432E-01
2.18311E+02,3.23443E+00
2.29801E+02,4.19443E+00
2.41291E+02,3.81443E+00
2.52781E+02,2.09443E+00
2.64271E+02,-1.46557E+00
2.75761E+02,-9.48557E+00
2.87251E+02,-1.49056E+01
2.98741E+02,-4.00557E+00
3.10231E+02,-3.65568E-01
3.21721E+02,1.07443E+00
3.33212E+02,1.09443E+00
3.44702E+02,-2.05568E-01
3.56192E+02,-3.18557E+00
3.67682E+02,-9.62557E+00
3.79172E+02,-2.48856E+01
3.90662E+02,-7.66557E+00
4.02152E+02,-3.20557E+00
4.13642E+02,-1.32557E+00
4.25132E+02,-9.65568E-01
4.36622E+02,-1.90557E+00
4.48112E+02,-4.38557E+00
4.59602E+02,-9.66557E+00
4.71092E+02,-3.33856E+01
4.82582E+02,-1.12256E+01
4.94072E+02,-5.72557E+00
5.05562E+02,-3.38557E+00
5.17052E+02,-2.68557E+00
5.28542E+02,-3.30557E+00
5.40032E+02,-5.36557E+00
5.51522E+02,-9.76557E+00
5.63013E+02,-2.26856E+01
5.74503E+02,-1.49656E+01
5.85993E+02,-8.04557E+00
5.97483E+02,-5.22557E+00
6.08973E+02,-4.18557E+00
6.20463E+02,-4.48557E+00
6.31953E+02,-6.16557E+00
6.43443E+02,-9.86557E+00
6.54933E+02,-1.90656E+01
6.66423E+02,-1.94056E+01
6.77913E+02,-1.03856E+01
6.89403E+02,-6.96557E+00
