in s,C1 in V,C2 in V
6.720000E-05,1.97412E+00,2.83350E+00
6.720080E-05,1.96924E+00,2.84326E+00
6.720160E-05,1.98389E+00,2.83838E+00
6.720240E-05,1.98389E+00,2.85791E+00
6.720320E-05,1.95947E+00,2.82373E+00
6.720400E-05,1.95947E+00,2.83350E+00
6.720480E-05,1.94971E+00,2.83838E+00
6.720560E-05,1.94971E+00,2.83838E+00
6.720640E-05,1.93018E+00,2.82861E+00
6.720720E-05,1.96436E+00,2.83838E+00
6.720800E-05,1.95459E+00,2.82373E+00
6.720880E-05,1.95947E+00,2.83350E+00
6.720960E-05,1.95459E+00,2.82373E+00
6.721040E-05,1.95459E+00,2.83838E+00
6.721120E-05,1.93994E+00,2.83838E+00
6.721200E-05,1.97412E+00,2.84326E+00
6.721280E-05,1.94482E+00,2.84326E+00
6.721360E-05,1.97900E+00,2.84814E+00
6.721440E-05,1.94971E+00,2.85303E+00
6.721520E-05,1.97412E+00,2.83838E+00
6.721600E-05,1.93018E+00,2.82861E+00
6.721680E-05,1.94482E+00,2.83350E+00
6.721760E-05,1.94482E+00,2.83350E+00
6.721840E-05,1.95947E+00,2.83350E+00
6.721920E-05,1.96436E+00,2.84326E+00
6.722000E-05,1.95459E+00,2.84814E+00
6.722080E-05,1.93994E+00,2.84326E+00
6.722160E-05,1.94971E+00,2.85791E+00
6.722240E-05,1.94482E+00,2.84814E+00
6.722320E-05,1.95947E+00,2.84814E+00
6.722400E-05,1.95459E+00,2.85791E+00
6.722480E-05,1.96436E+00,2.85791E+00
6.722560E-05,1.96436E+00,2.85791E+00
6.722640E-05,1.96436E+00,2.84814E+00
6.722720E-05,1.94482E+00,2.83350E+00
6.722800E-05,1.96924E+00,2.85303E+00
6.722880E-05,1.93506E+00,2.83350E+00
6.722960E-05,1.93994E+00,2.84814E+00
6.723040E-05,1.95459E+00,2.85303E+00
6.723120E-05,1.94971E+00,2.84326E+00
6.723200E-05,1.94482E+00,2.83838E+00
6.723280E-05,1.94482E+00,2.84814E+00
6.723360E-05,1.93994E+00,2.82861E+00
6.723440E-05,1.93018E+00,2.83838E+00
6.723520E-05,1.91064E+00,2.80908E+00
6.723600E-05,1.94482E+00,2.83838E+00
6.723680E-05,1.93018E+00,2.83838E+00
6.723760E-05,1.93994E+00,2.85303E+00
6.723840E-05,1.94971E+00,2.86279E+00
6.723920E-05,1.95947E+00,2.85303E+00
6.724000E-05,1.93994E+00,2.86279E+00
6.724080E-05,1.94971E+00,2.85791E+00
6.724160E-05,1.93994E+00,2.84814E+00
6.724240E-05,1.93506E+00,2.84326E+00
6.724320E-05,1.93994E+00,2.85303E+00
6.724400E-05,1.93994E+00,2.87256E+00
6.724480E-05,1.94971E+00,2.84326E+00
6.724560E-05,1.95459E+00,2.83838E+00
6.724640E-05,1.95459E+00,2.84326E+00
6.724720E-05,1.93994E+00,2.86768E+00
6.724800E-05,1.92529E+00,2.84326E+00
6.724880E-05,1.94971E+00,2.85791E+00
6.724960E-05,1.93506E+00,2.84814E+00
6.725040E-05,1.94482E+00,2.86279E+00
6.725120E-05,1.92529E+00,2.84814E+00
6.725200E-05,1.95947E+00,2.86279E+00
6.725280E-05,1.93018E+00,2.84814E+00
6.725360E-05,1.93506E+00,2.85791E+00
6.725440E-05,1.92529E+00,2.83838E+00
6.725520E-05,1.94971E+00,2.85303E+00
6.725600E-05,1.92529E+00,2.84814E+00
6.725680E-05,1.93018E+00,2.84814E+00
6.725760E-05,1.92041E+00,2.85791E+00
6.725840E-05,1.95459E+00,2.85791E+00
6.725920E-05,1.93994E+00,2.84326E+00
6.726000E-05,1.93018E+00,2.85791E+00
6.726080E-05,1.92041E+00,2.83350E+00
6.726160E-05,1.93994E+00,2.84814E+00
6.726240E-05,1.93018E+00,2.86279E+00
6.726320E-05,1.93018E+00,2.87256E+00
6.726400E-05,1.92529E+00,2.85791E+00
6.726480E-05,1.93994E+00,2.87744E+00
6.726560E-05,1.92041E+00,2.86768E+00
6.726640E-05,1.93018E+00,2.87744E+00
6.726720E-05,1.91553E+00,2.84814E+00
6.726800E-05,1.93506E+00,2.84326E+00
6.726880E-05,1.91553E+00,2.86279E+00
6.726960E-05,1.93506E+00,2.86279E+00
6.727040E-05,1.92041E+00,2.84326E+00
6.727120E-05,1.95459E+00,2.87256E+00
6.727200E-05,1.92529E+00,2.85791E+00
6.727280E-05,1.92041E+00,2.87744E+00
6.727360E-05,1.91553E+00,2.85791E+00
6.727440E-05,1.92529E+00,2.86768E+00
6.727520E-05,1.92041E+00,2.87744E+00
6.727600E-05,1.92529E+00,2.86279E+00
6.727680E-05,1.91553E+00,2.85791E+00
6.727760E-05,1.92529E+00,2.85303E+00
6.727840E-05,1.92529E+00,2.86279E+00
6.727920E-05,1.95459E+00,2.85791E+00
6.728000E-05,1.92041E+00,2.83838E+00
6.728080E-05,1.91553E+00,2.85303E+00
6.728160E-05,1.91064E+00,2.85791E+00
6.728240E-05,1.92041E+00,2.86768E+00
6.728320E-05,1.90576E+00,2.87256E+00
6.728400E-05,1.93506E+00,2.86279E+00
6.728480E-05,1.91553E+00,2.85303E+00
6.728560E-05,1.93506E+00,2.86768E+00
6.728640E-05,1.90576E+00,2.85303E+00
6.728720E-05,1.93994E+00,2.86768E+00
6.728800E-05,1.89600E+00,2.87256E+00
6.728880E-05,1.92529E+00,2.85791E+00
6.728960E-05,1.91553E+00,2.85791E+00
6.729040E-05,1.93994E+00,2.86279E+00
6.729120E-05,1.90576E+00,2.86279E+00
6.729200E-05,1.92529E+00,2.86768E+00
6.729280E-05,1.91064E+00,2.87256E+00
6.729360E-05,1.91553E+00,2.86768E+00
6.729440E-05,1.92041E+00,2.86279E+00
6.729520E-05,1.93018E+00,2.86768E+00
6.729600E-05,1.91553E+00,2.87256E+00
6.729680E-05,1.91553E+00,2.87744E+00
6.729760E-05,1.90576E+00,2.87256E+00
6.729840E-05,1.93018E+00,2.87256E+00
6.729920E-05,1.91064E+00,2.86279E+00
6.730000E-05,1.94482E+00,2.86279E+00
6.730080E-05,1.90088E+00,2.89209E+00
6.730160E-05,1.92529E+00,2.86768E+00
6.730240E-05,1.91064E+00,2.87256E+00
6.730320E-05,1.91553E+00,2.86768E+00
6.730400E-05,1.91553E+00,2.86279E+00
6.730480E-05,1.93506E+00,2.88232E+00
6.730560E-05,1.91553E+00,2.87256E+00
6.730640E-05,1.92529E+00,2.86279E+00
6.730720E-05,1.93018E+00,2.87744E+00
6.730800E-05,1.91553E+00,2.87744E+00
6.730880E-05,1.90576E+00,2.87744E+00
6.730960E-05,1.92529E+00,2.87744E+00
6.731040E-05,1.90088E+00,2.89209E+00
6.731120E-05,1.92529E+00,2.87744E+00
6.731200E-05,1.90576E+00,2.85791E+00
6.731280E-05,1.90088E+00,2.87256E+00
6.731360E-05,1.89111E+00,2.87256E+00
6.731440E-05,1.91064E+00,2.86768E+00
6.731520E-05,1.89600E+00,2.86279E+00
6.731600E-05,1.92041E+00,2.90674E+00
6.731680E-05,1.89600E+00,2.88232E+00
6.731760E-05,1.90576E+00,2.88721E+00
6.731840E-05,1.90088E+00,2.87256E+00
6.731920E-05,1.90088E+00,2.88232E+00
6.732000E-05,1.89600E+00,2.87744E+00
6.732080E-05,1.90088E+00,2.88721E+00
6.732160E-05,1.90576E+00,2.87256E+00
6.732240E-05,1.91553E+00,2.87256E+00
6.732320E-05,1.91064E+00,2.89697E+00
6.732400E-05,1.90088E+00,2.88232E+00
6.732480E-05,1.89600E+00,2.86279E+00
6.732560E-05,1.89111E+00,2.86279E+00
6.732640E-05,1.88135E+00,2.87256E+00
6.732720E-05,1.90088E+00,2.88721E+00
6.732800E-05,1.89600E+00,2.89209E+00
6.732880E-05,1.90576E+00,2.88721E+00
6.732960E-05,1.89600E+00,2.89209E+00
6.733040E-05,1.91064E+00,2.89209E+00
6.733120E-05,1.89600E+00,2.86768E+00
6.733200E-05,1.92041E+00,2.89209E+00
6.733280E-05,1.90576E+00,2.87744E+00
6.733360E-05,1.92041E+00,2.89209E+00
6.733440E-05,1.90576E+00,2.88721E+00
6.733520E-05,1.91553E+00,2.89697E+00
6.733600E-05,1.88135E+00,2.88721E+00
6.733680E-05,1.90576E+00,2.88232E+00
6.733760E-05,1.89111E+00,2.86279E+00
6.733840E-05,1.91064E+00,2.89209E+00
6.733920E-05,1.90088E+00,2.89697E+00
6.734000E-05,1.91553E+00,2.89209E+00
6.734080E-05,1.89111E+00,2.89209E+00
6.734160E-05,1.91064E+00,2.89209E+00
6.734240E-05,1.90088E+00,2.89209E+00
6.734320E-05,1.90088E+00,2.89697E+00
6.734400E-05,1.87646E+00,2.86279E+00
6.734480E-05,1.89600E+00,2.89697E+00
6.734560E-05,1.89600E+00,2.89209E+00
6.734640E-05,1.90088E+00,2.89209E+00
6.734720E-05,1.89111E+00,2.88721E+00
6.734800E-05,1.90088E+00,2.89697E+00
6.734880E-05,1.87646E+00,2.88721E+00
6.734960E-05,1.90576E+00,2.89209E+00
6.735040E-05,1.87646E+00,2.86768E+00
6.735120E-05,1.90088E+00,2.89209E+00
6.735200E-05,1.89111E+00,2.88721E+00
6.735280E-05,1.90576E+00,2.89209E+00
6.735360E-05,1.88135E+00,2.89697E+00
6.735440E-05,1.90088E+00,2.89697E+00
6.735520E-05,1.89111E+00,2.91162E+00
6.735600E-05,1.89111E+00,2.90186E+00
6.735680E-05,1.87158E+00,2.87744E+00
6.735760E-05,1.90088E+00,2.90186E+00
6.735840E-05,1.89111E+00,2.90674E+00
6.735920E-05,1.89111E+00,2.88232E+00
6.736000E-05,1.87158E+00,2.89697E+00
6.736080E-05,1.89111E+00,2.92627E+00
6.736160E-05,1.88135E+00,2.90186E+00
6.736240E-05,1.90088E+00,2.90674E+00
6.736320E-05,1.87646E+00,2.89209E+00
6.736400E-05,1.88135E+00,2.91162E+00
6.736480E-05,1.89111E+00,2.90674E+00
6.736560E-05,1.89600E+00,2.89697E+00
6.736640E-05,1.87646E+00,2.89209E+00
6.736720E-05,1.90576E+00,2.90674E+00
6.736800E-05,1.87158E+00,2.90186E+00
6.736880E-05,1.89600E+00,2.91650E+00
6.736960E-05,1.87158E+00,2.89697E+00
6.737040E-05,1.89111E+00,2.90186E+00
6.737120E-05,1.90088E+00,2.90674E+00
6.737200E-05,1.89111E+00,2.89697E+00
6.737280E-05,1.87646E+00,2.90674E+00
6.737360E-05,1.90576E+00,2.90674E+00
6.737440E-05,1.89600E+00,2.90674E+00
6.737520E-05,1.88623E+00,2.90674E+00
6.737600E-05,1.87646E+00,2.88721E+00
6.737680E-05,1.88623E+00,2.91650E+00
6.737760E-05,1.89111E+00,2.92139E+00
6.737840E-05,1.89111E+00,2.90674E+00
6.737920E-05,1.86182E+00,2.90674E+00
6.738000E-05,1.90576E+00,2.91650E+00
6.738080E-05,1.87646E+00,2.91162E+00
6.738160E-05,1.89111E+00,2.90674E+00
6.738240E-05,1.87646E+00,2.89209E+00
6.738320E-05,1.87646E+00,2.88232E+00
6.738400E-05,1.88135E+00,2.91162E+00
6.738480E-05,1.87646E+00,2.91650E+00
6.738560E-05,1.87158E+00,2.91650E+00
6.738640E-05,1.89111E+00,2.92139E+00
6.738720E-05,1.87646E+00,2.90674E+00
6.738800E-05,1.88135E+00,2.92627E+00
6.738880E-05,1.87646E+00,2.89209E+00
6.738960E-05,1.88135E+00,2.90674E+00
6.739040E-05,1.86182E+00,2.90674E+00
6.739120E-05,1.87158E+00,2.89697E+00
6.739200E-05,1.86670E+00,2.91162E+00
6.739280E-05,1.87646E+00,2.91650E+00
6.739360E-05,1.87646E+00,2.91162E+00
6.739440E-05,1.87158E+00,2.91162E+00
6.739520E-05,1.85693E+00,2.90674E+00
6.739600E-05,1.87646E+00,2.88721E+00
6.739680E-05,1.85693E+00,2.92627E+00
6.739760E-05,1.86182E+00,2.90674E+00
6.739840E-05,1.86670E+00,2.91650E+00
6.739920E-05,1.88623E+00,2.91162E+00
6.740000E-05,1.84717E+00,2.91162E+00
6.740080E-05,1.88135E+00,2.91162E+00
6.740160E-05,1.86670E+00,2.88721E+00
6.740240E-05,1.87646E+00,2.89209E+00
6.740320E-05,1.87158E+00,2.91162E+00
6.740400E-05,1.87158E+00,2.90674E+00
6.740480E-05,1.87158E+00,2.91650E+00
6.740560E-05,1.89111E+00,2.92627E+00
6.740640E-05,1.87158E+00,2.91162E+00
6.740720E-05,1.87646E+00,2.91162E+00
6.740800E-05,1.84229E+00,2.90186E+00
6.740880E-05,1.86670E+00,2.91162E+00
6.740960E-05,1.86670E+00,2.91162E+00
6.741040E-05,1.88135E+00,2.93604E+00
6.741120E-05,1.84717E+00,2.91162E+00
6.741200E-05,1.84717E+00,2.90674E+00
6.741280E-05,1.86670E+00,2.91650E+00
6.741360E-05,1.87158E+00,2.92627E+00
6.741440E-05,1.84229E+00,2.89697E+00
6.741520E-05,1.87158E+00,2.91650E+00
6.741600E-05,1.85693E+00,2.93115E+00
6.741680E-05,1.84229E+00,2.91650E+00
6.741760E-05,1.85205E+00,2.92139E+00
6.741840E-05,1.88135E+00,2.92627E+00
6.741920E-05,1.85693E+00,2.92139E+00
6.742000E-05,1.85693E+00,2.92627E+00
6.742080E-05,1.85205E+00,2.90186E+00
6.742160E-05,1.87158E+00,2.90674E+00
6.742240E-05,1.86182E+00,2.93115E+00
6.742320E-05,1.88135E+00,2.93115E+00
6.742400E-05,1.86182E+00,2.91650E+00
6.742480E-05,1.89111E+00,2.91650E+00
6.742560E-05,1.84229E+00,2.93115E+00
6.742640E-05,1.86670E+00,2.93115E+00
6.742720E-05,1.83740E+00,2.91162E+00
6.742800E-05,1.87158E+00,2.91650E+00
6.742880E-05,1.86182E+00,2.91650E+00
6.742960E-05,1.87646E+00,2.91650E+00
6.743040E-05,1.85205E+00,2.92627E+00
6.743120E-05,1.87158E+00,2.91162E+00
6.743200E-05,1.85205E+00,2.92139E+00
6.743280E-05,1.86182E+00,2.92139E+00
6.743360E-05,1.82764E+00,2.91162E+00
6.743440E-05,1.84229E+00,2.92139E+00
6.743520E-05,1.85693E+00,2.92627E+00
6.743600E-05,1.84229E+00,2.93115E+00
6.743680E-05,1.85205E+00,2.90674E+00
6.743760E-05,1.87158E+00,2.93115E+00
6.743840E-05,1.85693E+00,2.93115E+00
6.743920E-05,1.84717E+00,2.94580E+00
6.744000E-05,1.84229E+00,2.90674E+00
6.744080E-05,1.86670E+00,2.92627E+00
6.744160E-05,1.84717E+00,2.93115E+00
6.744240E-05,1.86670E+00,2.94092E+00
6.744320E-05,1.84229E+00,2.92627E+00
6.744400E-05,1.86670E+00,2.93115E+00
6.744480E-05,1.84229E+00,2.92139E+00
6.744560E-05,1.84717E+00,2.93115E+00
6.744640E-05,1.83740E+00,2.91650E+00
6.744720E-05,1.86182E+00,2.91162E+00
6.744800E-05,1.85693E+00,2.93115E+00
6.744880E-05,1.86182E+00,2.94092E+00
6.744960E-05,1.83252E+00,2.93115E+00
6.745040E-05,1.85205E+00,2.93115E+00
6.745120E-05,1.85205E+00,2.91650E+00
6.745200E-05,1.86182E+00,2.92139E+00
6.745280E-05,1.84717E+00,2.91650E+00
6.745360E-05,1.84229E+00,2.93115E+00
6.745440E-05,1.84229E+00,2.92139E+00
6.745520E-05,1.84229E+00,2.93115E+00
6.745600E-05,1.84229E+00,2.92627E+00
6.745680E-05,1.83740E+00,2.94092E+00
6.745760E-05,1.84229E+00,2.92627E+00
6.745840E-05,1.86182E+00,2.95068E+00
6.745920E-05,1.83740E+00,2.92627E+00
6.746000E-05,1.84229E+00,2.92627E+00
6.746080E-05,1.83740E+00,2.94092E+00
6.746160E-05,1.84717E+00,2.93604E+00
6.746240E-05,1.83252E+00,2.92627E+00
6.746320E-05,1.83740E+00,2.95557E+00
6.746400E-05,1.85205E+00,2.94092E+00
6.746480E-05,1.85205E+00,2.96045E+00
6.746560E-05,1.83252E+00,2.92627E+00
6.746640E-05,1.83740E+00,2.92139E+00
6.746720E-05,1.83252E+00,2.95068E+00
6.746800E-05,1.84717E+00,2.95068E+00
6.746880E-05,1.84229E+00,2.92627E+00
6.746960E-05,1.86670E+00,2.93604E+00
6.747040E-05,1.82764E+00,2.92139E+00
6.747120E-05,1.83740E+00,2.94092E+00
6.747200E-05,1.83740E+00,2.91162E+00
6.747280E-05,1.83740E+00,2.95068E+00
6.747360E-05,1.84717E+00,2.93115E+00
6.747440E-05,1.85205E+00,2.93604E+00
6.747520E-05,1.83252E+00,2.95068E+00
6.747600E-05,1.85205E+00,2.94580E+00
6.747680E-05,1.85205E+00,2.93604E+00
6.747760E-05,1.83740E+00,2.94580E+00
6.747840E-05,1.82764E+00,2.93115E+00
6.747920E-05,1.83740E+00,2.95068E+00
6.748000E-05,1.82275E+00,2.93115E+00
6.748080E-05,1.83740E+00,2.93115E+00
6.748160E-05,1.82764E+00,2.96045E+00
6.748240E-05,1.84229E+00,2.94580E+00
6.748320E-05,1.83252E+00,2.94580E+00
6.748400E-05,1.85205E+00,2.95557E+00
6.748480E-05,1.82275E+00,2.93604E+00
6.748560E-05,1.84229E+00,2.94580E+00
6.748640E-05,1.83740E+00,2.95068E+00
6.748720E-05,1.84229E+00,2.94092E+00
6.748800E-05,1.82275E+00,2.94092E+00
6.748880E-05,1.82275E+00,2.95068E+00
6.748960E-05,1.81787E+00,2.96533E+00
6.749040E-05,1.83252E+00,2.95557E+00
6.749120E-05,1.82275E+00,2.95068E+00
6.749200E-05,1.84229E+00,2.94092E+00
6.749280E-05,1.82764E+00,2.95068E+00
