in s,C1 in V
2.7919930E-01,6.8266766E+00
2.7920022E-01,6.8289655E+00
2.7920114E-01,6.8283551E+00
2.7920206E-01,6.8274396E+00
2.7920298E-01,6.8253033E+00
2.7920390E-01,6.8242352E+00
2.7920482E-01,6.8246930E+00
2.7920574E-01,6.8251508E+00
2.7920666E-01,6.8253033E+00
2.7920758E-01,6.8237775E+00
2.7920850E-01,6.8230145E+00
2.7920942E-01,6.8228619E+00
2.7921034E-01,6.8245404E+00
2.7921126E-01,6.8262189E+00
2.7921218E-01,6.8254559E+00
2.7921310E-01,6.8254559E+00
2.7921402E-01,6.8253033E+00
2.7921494E-01,6.8249982E+00
2.7921586E-01,6.8249982E+00
2.7921678E-01,6.8246930E+00
2.7921770E-01,6.8245404E+00
2.7921862E-01,6.8243878E+00
2.7921954E-01,6.8242352E+00
2.7922046E-01,6.8233197E+00
2.7922138E-01,6.8246930E+00
2.7922230E-01,6.8251508E+00
2.7922322E-01,6.8240826E+00
2.7922414E-01,6.8233197E+00
2.7922506E-01,6.8211835E+00
2.7922598E-01,6.8217938E+00
2.7922690E-01,6.8237775E+00
2.7922782E-01,6.8233197E+00
2.7922874E-01,6.8224042E+00
2.7922966E-01,6.8228619E+00
2.7923058E-01,6.8233197E+00
2.7923150E-01,6.8205731E+00
2.7923242E-01,6.8227094E+00
2.7923334E-01,6.8227094E+00
2.7923426E-01,6.8213361E+00
2.7923518E-01,6.8228619E+00
2.7923610E-01,6.8225568E+00
2.7923702E-01,6.8219464E+00
2.7923794E-01,6.8233197E+00
2.7923886E-01,6.8228619E+00
2.7923978E-01,6.8208783E+00
2.7924070E-01,6.8191998E+00
2.7924162E-01,6.8202679E+00
2.7924254E-01,6.8190472E+00
2.7924346E-01,6.8193524E+00
2.7924438E-01,6.8195050E+00
2.7924530E-01,6.8184369E+00
2.7924622E-01,6.8201154E+00
2.7924714E-01,6.8190472E+00
2.7924806E-01,6.8199628E+00
2.7924898E-01,6.8185895E+00
2.7924990E-01,6.8178265E+00
2.7925082E-01,6.8170636E+00
2.7925174E-01,6.8182843E+00
2.7925266E-01,6.8170636E+00
2.7925358E-01,6.8170636E+00
2.7925450E-01,6.8150800E+00
2.7925542E-01,6.8163007E+00
2.7925634E-01,6.8158429E+00
2.7925726E-01,6.8155377E+00
2.7925818E-01,6.8126385E+00
2.7925910E-01,6.8149274E+00
2.7926002E-01,6.8152325E+00
2.7926094E-01,6.8166058E+00
2.7926186E-01,6.8167584E+00
2.7926278E-01,6.8163007E+00
2.7926370E-01,6.8146222E+00
2.7926462E-01,6.8127911E+00
2.7926554E-01,6.8124860E+00
2.7926646E-01,6.8112653E+00
2.7926738E-01,6.8140118E+00
2.7926830E-01,6.8140118E+00
2.7926922E-01,6.8134015E+00
