"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-02-28",
"Time","13:21:21",
"Comment","",

"Meas. Place",,"3",,
"Type",,"Fall Time",,
"Source 1",,"C2",,
"Source 2",,,,
"Unit",,s,,
"Upper Level [%]",,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,
"Wave count",,3121,,
"Current",,8.910400e-06,,
"Average No.",,1.000000e+03,,
"Min",,1.771200e-06,,
"Max",,1.937120e-05,,
"Mean",,6.881824e-06,,
"StdDev",,2.402035e-06,,
"Time of first value",,,,
"Time of last value",,,,
"Long term Min",,2.240000e-08,,
"Long term Max",,4.821280e-05,,
"Long term Mean",,4.801982e-06,,
"Long term StdDev",,3.730531e-06,,
"Long term start time",,,,
"Long term end Time",,,,


"Index","Time Offset","Value",
1,,5.398400e-06,
2,,5.336000e-06,
3,,5.278400e-06,
4,,5.436800e-06,
5,,5.470400e-06,
6,,1.185120e-05,
7,,5.385600e-06,
8,,5.416000e-06,
9,,5.268800e-06,
10,,5.436800e-06,
11,,5.465600e-06,
12,,5.443200e-06,
13,,5.422400e-06,
14,,5.337600e-06,
15,,5.339200e-06,
16,,5.288000e-06,
17,,5.430400e-06,
18,,5.339200e-06,
19,,5.372800e-06,
20,,5.307200e-06,
21,,5.313600e-06,
22,,1.186400e-05,
23,,5.324800e-06,
24,,5.284800e-06,
25,,5.328000e-06,
26,,1.190720e-05,
27,,5.388800e-06,
28,,5.316800e-06,
29,,5.302400e-06,
30,,5.385600e-06,
31,,5.324800e-06,
32,,5.315200e-06,
33,,5.422400e-06,
34,,5.241600e-06,
35,,5.340800e-06,
36,,5.273600e-06,
37,,5.460800e-06,
38,,5.323200e-06,
39,,5.305600e-06,
40,,5.387200e-06,
41,,5.326400e-06,
42,,1.191360e-05,
43,,5.440000e-06,
44,,5.446400e-06,
45,,5.448000e-06,
46,,5.457600e-06,
47,,5.384000e-06,
48,,5.288000e-06,
49,,5.315200e-06,
50,,5.350400e-06,
51,,5.483200e-06,
52,,5.228800e-06,
53,,5.328000e-06,
54,,5.432000e-06,
55,,5.302400e-06,
56,,1.200640e-05,
57,,5.321600e-06,
58,,5.433600e-06,
59,,1.188000e-05,
60,,5.404800e-06,
61,,1.200960e-05,
62,,5.417600e-06,
63,,5.324800e-06,
64,,5.281600e-06,
65,,5.305600e-06,
66,,5.331200e-06,
67,,5.404800e-06,
68,,1.208480e-05,
69,,5.396800e-06,
70,,5.480000e-06,
71,,5.315200e-06,
72,,5.268800e-06,
73,,1.190720e-05,
74,,5.331200e-06,
75,,5.331200e-06,
76,,1.182720e-05,
77,,1.195040e-05,
78,,5.396800e-06,
79,,5.372800e-06,
80,,5.449600e-06,
81,,5.299200e-06,
82,,5.344000e-06,
83,,5.300800e-06,
84,,5.320000e-06,
85,,5.395200e-06,
86,,5.366400e-06,
87,,4.785600e-06,
88,,5.404800e-06,
89,,1.209760e-05,
90,,5.449600e-06,
91,,1.171200e-05,
92,,4.782400e-06,
93,,5.398400e-06,
94,,5.284800e-06,
95,,5.444800e-06,
96,,5.286400e-06,
97,,5.256000e-06,
98,,1.204960e-05,
99,,1.184640e-05,
100,,5.368000e-06,
101,,5.377600e-06,
102,,5.432000e-06,
103,,5.449600e-06,
104,,1.194560e-05,
105,,5.404800e-06,
106,,1.195840e-05,
107,,1.198720e-05,
108,,1.177120e-05,
109,,5.462400e-06,
110,,5.278400e-06,
111,,1.185600e-05,
112,,5.307200e-06,
113,,5.406400e-06,
114,,4.793600e-06,
115,,5.324800e-06,
116,,5.310400e-06,
117,,1.188640e-05,
118,,5.318400e-06,
119,,5.315200e-06,
120,,1.186880e-05,
121,,5.312000e-06,
122,,5.281600e-06,
123,,5.289600e-06,
124,,5.457600e-06,
125,,5.457600e-06,
126,,5.268800e-06,
127,,5.446400e-06,
128,,5.444800e-06,
129,,5.395200e-06,
130,,5.268800e-06,
131,,1.184160e-05,
132,,5.344000e-06,
133,,1.191840e-05,
134,,5.430400e-06,
135,,5.318400e-06,
136,,5.438400e-06,
137,,1.166560e-05,
138,,5.326400e-06,
139,,5.441600e-06,
140,,5.260800e-06,
141,,5.475200e-06,
142,,1.600000e+308,
143,,2.209600e-06,
144,,1.600000e+308,
145,,1.315200e-05,
146,,1.600000e+308,
147,,1.600000e+308,
148,,1.600000e+308,
149,,1.937120e-05,
150,,1.771200e-06,
151,,1.321280e-05,
152,,2.081600e-06,
153,,1.600000e+308,
154,,1.600000e+308,
155,,5.379200e-06,
156,,1.206400e-05,
157,,5.291200e-06,
158,,5.259200e-06,
159,,5.302400e-06,
160,,5.456000e-06,
161,,5.436800e-06,
162,,5.268800e-06,
163,,5.281600e-06,
164,,5.305600e-06,
165,,5.312000e-06,
166,,5.249600e-06,
167,,5.443200e-06,
168,,5.433600e-06,
169,,5.283200e-06,
170,,1.191520e-05,
171,,5.340800e-06,
172,,5.329600e-06,
173,,5.478400e-06,
174,,5.475200e-06,
175,,5.468800e-06,
176,,5.334400e-06,
177,,5.468800e-06,
178,,1.196640e-05,
179,,5.385600e-06,
180,,5.484800e-06,
181,,5.312000e-06,
182,,5.302400e-06,
183,,5.432000e-06,
184,,5.446400e-06,
185,,5.305600e-06,
186,,5.321600e-06,
187,,5.275200e-06,
188,,5.240000e-06,
189,,5.313600e-06,
190,,1.183520e-05,
191,,5.436800e-06,
192,,5.396800e-06,
193,,5.358400e-06,
194,,5.304000e-06,
195,,5.459200e-06,
196,,1.176480e-05,
197,,5.424000e-06,
198,,1.192160e-05,
199,,5.262400e-06,
200,,5.267200e-06,
201,,1.182720e-05,
202,,5.332800e-06,
203,,1.177760e-05,
204,,5.406400e-06,
205,,1.182240e-05,
206,,5.361600e-06,
207,,1.184480e-05,
208,,5.427200e-06,
209,,5.420800e-06,
210,,1.192800e-05,
211,,5.425600e-06,
212,,5.464000e-06,
213,,5.422400e-06,
214,,5.393600e-06,
215,,5.344000e-06,
216,,5.316800e-06,
217,,1.186240e-05,
218,,5.379200e-06,
219,,5.401600e-06,
220,,5.470400e-06,
221,,5.464000e-06,
222,,4.812800e-06,
223,,5.374400e-06,
224,,5.398400e-06,
225,,5.339200e-06,
226,,5.444800e-06,
227,,5.281600e-06,
228,,5.291200e-06,
229,,1.200480e-05,
230,,5.419200e-06,
231,,5.440000e-06,
232,,5.283200e-06,
233,,5.432000e-06,
234,,5.424000e-06,
235,,5.328000e-06,
236,,5.456000e-06,
237,,5.363200e-06,
238,,5.444800e-06,
239,,1.196160e-05,
240,,5.308800e-06,
241,,5.393600e-06,
242,,5.348800e-06,
243,,4.790400e-06,
244,,5.283200e-06,
245,,5.291200e-06,
246,,1.191520e-05,
