"Vendor","Rohde&Schwarz",
"Device/Mat.-No.","RTB2004 / 1333.1005k04",
"Serial No.","107509",
"Firmware Version","02.300",
"Date","2023-03-03",
"Time","11:14:50",
"Comment","",

"Meas. Place",,"1",,"2",,"3",,"4",,
"Type",,"Period",,"Rise Time",,"Period",,"Rise Time",,
"Source 1",,"C2",,"C1",,"C1",,"C2",,
"Source 2",,,,,,,,,,
"Unit",,s,,s,,s,,s,,
"Upper Level [%]",,9.000000e+01,,9.000000e+01,,9.000000e+01,,9.000000e+01,,
"Middle Level [%]",,5.000000e+01,,5.000000e+01,,5.000000e+01,,5.000000e+01,,
"Lower Level [%]",,1.000000e+01,,1.000000e+01,,1.000000e+01,,1.000000e+01,,
"Wave count",,1352,,1352,,1352,,1352,,
"Current",,1.370784e-04,,5.308800e-06,,1.710336e-04,,7.814400e-06,,
"Average No.",,1.000000e+03,,1.000000e+03,,1.000000e+03,,1.000000e+03,,
"Min",,8.557440e-05,,5.222400e-06,,1.541760e-04,,4.051200e-06,,
"Max",,3.291600e-04,,1.778880e-05,,2.499936e-04,,3.470448e-04,,
"Mean",,1.319670e-04,,5.416133e-06,,1.679054e-04,,1.241124e-05,,
"StdDev",,4.605867e-05,,4.481328e-07,,7.653331e-06,,3.606210e-05,,
"Time of first value",,,,,,,,,,
"Time of last value",,,,,,,,,,
"Long term Min",,8.552640e-05,,5.193600e-06,,1.541760e-04,,4.051200e-06,,
"Long term Max",,3.291600e-04,,1.778880e-05,,2.499936e-04,,3.470448e-04,,
"Long term Mean",,1.188248e-04,,5.389968e-06,,1.687611e-04,,1.203677e-05,,
"Long term StdDev",,4.422822e-05,,3.822144e-07,,6.638731e-06,,3.046650e-05,,
"Long term start time",,,,,,,,,,
"Long term end Time",,,,,,,,,,


"Index","Time Offset","Value","Time Offset","Value","Time Offset","Value","Time Offset","Value",
1,,8.570880e-05,,5.328000e-06,,1.709328e-04,,1.109760e-05,
2,,8.558880e-05,,5.356800e-06,,1.709328e-04,,1.109760e-05,
3,,8.566560e-05,,5.352000e-06,,1.709280e-04,,1.097280e-05,
4,,8.567520e-05,,5.328000e-06,,1.710768e-04,,1.113120e-05,
5,,8.570400e-05,,5.347200e-06,,1.709712e-04,,1.156320e-05,
6,,8.565120e-05,,5.347200e-06,,1.709808e-04,,1.108800e-05,
7,,8.572800e-05,,5.265600e-06,,1.709568e-04,,1.133280e-05,
8,,8.566080e-05,,5.289600e-06,,1.709664e-04,,1.133760e-05,
9,,8.566080e-05,,5.328000e-06,,1.709712e-04,,1.108320e-05,
10,,8.565600e-05,,5.356800e-06,,1.709520e-04,,1.120800e-05,
11,,8.570880e-05,,5.356800e-06,,1.709568e-04,,1.113120e-05,
12,,8.561280e-05,,5.251200e-06,,1.709712e-04,,1.110720e-05,
13,,8.566080e-05,,5.323200e-06,,1.710192e-04,,1.119360e-05,
14,,8.567520e-05,,5.332800e-06,,1.709808e-04,,1.125120e-05,
15,,8.566560e-05,,5.313600e-06,,1.708992e-04,,1.135680e-05,
16,,8.570880e-05,,5.328000e-06,,1.709856e-04,,1.130880e-05,
17,,8.566560e-05,,5.308800e-06,,1.709136e-04,,1.108320e-05,
18,,8.564640e-05,,5.332800e-06,,1.709472e-04,,1.116960e-05,
19,,8.565120e-05,,5.313600e-06,,1.709616e-04,,1.131840e-05,
20,,8.567520e-05,,5.304000e-06,,1.709232e-04,,1.124160e-05,
21,,8.572320e-05,,5.265600e-06,,1.709136e-04,,1.099680e-05,
22,,8.574240e-05,,5.323200e-06,,1.710240e-04,,1.100160e-05,
23,,8.571360e-05,,5.332800e-06,,1.708944e-04,,1.084800e-05,
24,,8.565120e-05,,5.323200e-06,,1.709136e-04,,1.093920e-05,
25,,8.566080e-05,,5.332800e-06,,1.708944e-04,,1.084800e-05,
26,,8.560320e-05,,5.280000e-06,,1.709424e-04,,1.142400e-05,
27,,8.569440e-05,,5.332800e-06,,1.708800e-04,,1.102080e-05,
28,,8.568000e-05,,5.352000e-06,,1.710432e-04,,1.097760e-05,
29,,8.565120e-05,,5.313600e-06,,1.709568e-04,,1.121280e-05,
30,,8.570880e-05,,5.376000e-06,,1.709568e-04,,1.085280e-05,
31,,8.566560e-05,,5.241600e-06,,1.709328e-04,,1.106400e-05,
32,,8.564640e-05,,5.294400e-06,,1.709520e-04,,1.089120e-05,
33,,8.566080e-05,,5.299200e-06,,1.710144e-04,,1.093920e-05,
34,,8.566560e-05,,5.294400e-06,,1.708944e-04,,1.090080e-05,
35,,8.578560e-05,,5.342400e-06,,1.710192e-04,,1.138080e-05,
36,,8.560320e-05,,5.323200e-06,,1.709664e-04,,1.092000e-05,
37,,8.575680e-05,,5.328000e-06,,1.709760e-04,,1.120800e-05,
38,,8.572800e-05,,5.284800e-06,,1.709712e-04,,1.129920e-05,
39,,8.570880e-05,,5.332800e-06,,1.709856e-04,,1.140960e-05,
40,,8.560320e-05,,5.361600e-06,,1.709568e-04,,1.140000e-05,
41,,8.561760e-05,,5.366400e-06,,1.709232e-04,,1.127520e-05,
42,,8.567040e-05,,5.308800e-06,,1.710720e-04,,1.099680e-05,
43,,8.571360e-05,,5.280000e-06,,1.710144e-04,,1.105920e-05,
44,,8.570400e-05,,5.337600e-06,,1.709520e-04,,1.103520e-05,
45,,8.566560e-05,,5.342400e-06,,1.708992e-04,,1.112640e-05,
46,,8.567520e-05,,5.337600e-06,,1.709328e-04,,1.090080e-05,
47,,8.571840e-05,,5.352000e-06,,1.708560e-04,,1.141920e-05,
48,,8.565120e-05,,5.356800e-06,,1.710144e-04,,1.119840e-05,
49,,8.570400e-05,,5.308800e-06,,1.709808e-04,,1.150560e-05,
50,,8.569440e-05,,5.323200e-06,,1.709808e-04,,1.087680e-05,
51,,8.566560e-05,,5.361600e-06,,1.709136e-04,,1.100640e-05,
52,,8.567520e-05,,5.304000e-06,,1.709520e-04,,1.107840e-05,
53,,8.568480e-05,,5.332800e-06,,1.710000e-04,,1.104960e-05,
54,,8.568000e-05,,5.376000e-06,,1.710288e-04,,1.140000e-05,
55,,8.573280e-05,,5.356800e-06,,1.710912e-04,,1.123200e-05,
56,,8.563680e-05,,5.280000e-06,,1.709952e-04,,1.095360e-05,
57,,8.566560e-05,,5.337600e-06,,1.709664e-04,,1.081440e-05,
58,,8.568960e-05,,5.371200e-06,,1.710048e-04,,1.092000e-05,
59,,8.577600e-05,,5.361600e-06,,1.710288e-04,,1.115040e-05,
60,,8.573280e-05,,5.289600e-06,,1.710048e-04,,1.103520e-05,
61,,8.570880e-05,,5.347200e-06,,1.710192e-04,,1.126080e-05,
62,,8.568480e-05,,5.323200e-06,,1.708416e-04,,1.137120e-05,
63,,8.567040e-05,,5.332800e-06,,1.709664e-04,,1.090080e-05,
64,,8.567520e-05,,5.313600e-06,,1.709568e-04,,1.099200e-05,
65,,8.568000e-05,,5.332800e-06,,1.709328e-04,,1.113600e-05,
66,,8.568960e-05,,5.265600e-06,,1.708896e-04,,1.083360e-05,
67,,8.576640e-05,,5.366400e-06,,1.709616e-04,,1.101120e-05,
